Dataset,Run,Explainer,Probability,P1,P2
25,1,Beta,0.46380112,32,18
25,1,Beta,0.45966285,32,22
25,1,Beta,0.46370372,32,24
25,1,Beta,0.4656116,32,25
25,1,Beta,0.46246722,32,26
25,1,Beta,0.45506153,32,31
25,1,Beta,0.45566523,32,33
25,1,Beta,0.46154335,32,46
25,1,Beta,0.45365292,32,98
25,1,Beta,0.46112093,33,18
25,1,Beta,0.45711437,33,22
25,1,Beta,0.45933858,33,24
25,1,Beta,0.4599715,33,26
25,1,Beta,0.45946845,33,30
25,1,Beta,0.45184588,33,31
25,1,Beta,0.45624062,33,32
25,1,Beta,0.4541077,33,42
25,1,Beta,0.45625997,33,74
25,1,Beta,0.45274848,33,98
25,1,Beta,0.45491102,39,18
25,1,Beta,0.4517134,39,26
25,1,Beta,0.4554741,39,42
25,1,Beta,0.45781958,40,9
25,1,Beta,0.4601943,42,18
25,1,Beta,0.4558344,42,25
25,1,Beta,0.4559867,42,26
25,1,Beta,0.45222294,42,31
25,1,Beta,0.4489297,42,33
25,1,Beta,0.458983,42,39
25,1,Beta,0.4618103,46,18
25,1,Beta,0.45263988,46,32
25,1,Beta,0.46324718,46,50
25,1,Beta,0.46156582,46,98
25,1,Beta,0.4609847,50,18
25,1,Beta,0.4601549,50,31
25,1,Beta,0.45645127,50,46
25,1,Beta,0.46107885,51,9
25,1,Beta,0.45935756,53,18
25,1,Beta,0.45329195,54,9
25,1,Beta,0.45215446,54,17
25,1,Beta,0.460553,60,18
25,1,Beta,0.4614238,60,25
25,1,Beta,0.4581402,60,98
25,1,Beta,0.46034092,61,9
25,1,Beta,0.450572,62,9
25,1,Beta,0.46244073,69,9
25,1,Beta,0.45552924,71,9
25,1,Beta,0.4583406,74,18
25,1,Beta,0.46005362,74,24
25,1,Beta,0.45690992,74,26
25,1,Beta,0.46057978,74,31
25,1,Beta,0.46145,74,33
25,1,Beta,0.45876694,74,98
25,1,Beta,0.4621202,76,18
25,1,Beta,0.4551927,76,26
25,1,Beta,0.45671505,97,9
25,1,Beta,0.44961676,98,18
25,1,Beta,0.4551208,98,24
25,1,Beta,0.46058637,98,26
25,1,Beta,0.46046847,98,31
25,1,Beta,0.4585194,98,32
25,1,Beta,0.4566014,98,33
25,1,Beta,0.4595581,98,46
25,1,Beta,0.4560293,98,60
25,1,Beta,0.46839452,98,74
25,2,Beta,0.4530037,7,18
25,2,Beta,0.46142152,9,12
25,2,Beta,0.46175995,9,14
25,2,Beta,0.45736435,9,17
25,2,Beta,0.4680919,9,18
25,2,Beta,0.46032438,9,23
25,2,Beta,0.45736298,9,32
25,2,Beta,0.4576445,9,40
25,2,Beta,0.46525174,9,51
25,2,Beta,0.4674528,9,54
25,2,Beta,0.45998135,9,61
25,2,Beta,0.46799725,9,62
25,2,Beta,0.46505907,9,69
25,2,Beta,0.46414116,9,71
25,2,Beta,0.46043125,9,97
25,2,Beta,0.45413888,12,9
25,2,Beta,0.45412377,14,9
25,2,Beta,0.45495963,17,9
25,2,Beta,0.46397862,17,54
25,2,Beta,0.4720192,18,7
25,2,Beta,0.46376845,18,9
25,2,Beta,0.46756142,18,19
25,2,Beta,0.4703292,18,20
25,2,Beta,0.46614352,18,22
25,2,Beta,0.47604254,18,24
25,2,Beta,0.4648962,18,25
25,2,Beta,0.45842582,18,26
25,2,Beta,0.46733472,18,30
25,2,Beta,0.4611358,18,31
25,2,Beta,0.46248892,18,32
25,2,Beta,0.46296108,18,33
25,2,Beta,0.46847075,18,39
25,2,Beta,0.46035853,18,42
25,2,Beta,0.46684703,18,46
25,2,Beta,0.47032025,18,50
25,2,Beta,0.4640883,18,53
25,2,Beta,0.46321368,18,60
25,2,Beta,0.46484283,18,74
25,2,Beta,0.46634164,18,76
25,2,Beta,0.45560318,18,98
25,2,Beta,0.45832178,19,18
25,2,Beta,0.46108794,20,18
25,2,Beta,0.45448276,22,18
25,2,Beta,0.45604154,22,32
25,2,Beta,0.46318197,22,33
25,2,Beta,0.4605478,23,9
25,2,Beta,0.45361942,24,18
25,2,Beta,0.44899014,24,25
25,2,Beta,0.459764,24,26
25,2,Beta,0.4614117,24,30
25,2,Beta,0.45937562,24,31
25,2,Beta,0.45600086,24,32
25,2,Beta,0.45812193,24,33
25,2,Beta,0.457345,24,74
25,2,Beta,0.4586001,24,98
25,2,Beta,0.45891097,25,18
25,2,Beta,0.4610041,25,24
25,2,Beta,0.4575564,25,26
25,2,Beta,0.45461035,25,32
25,2,Beta,0.45008633,25,42
25,2,Beta,0.45365483,25,60
25,2,Beta,0.4593557,26,18
25,2,Beta,0.46493554,26,24
25,2,Beta,0.46200112,26,25
25,2,Beta,0.45513043,26,31
25,2,Beta,0.45505702,26,32
25,2,Beta,0.4592769,26,33
25,2,Beta,0.45682564,26,39
25,2,Beta,0.45512173,26,42
25,2,Beta,0.46184078,26,74
25,2,Beta,0.461076,26,76
25,2,Beta,0.4523961,26,98
25,2,Beta,0.4573828,30,18
25,2,Beta,0.4642694,30,24
25,2,Beta,0.4525981,30,33
25,2,Beta,0.4598983,31,18
25,2,Beta,0.45919845,31,24
25,2,Beta,0.45620102,31,26
25,2,Beta,0.46027792,31,32
25,2,Beta,0.45676836,31,33
25,2,Beta,0.45595273,31,42
25,2,Beta,0.4607793,31,50
25,2,Beta,0.45877662,31,74
25,2,Beta,0.4551456,31,98
25,2,Beta,0.4608845,32,9
25,2,Beta,0.45972314,32,18
25,2,Beta,0.4604203,32,22
25,2,Beta,0.45973668,32,24
25,2,Beta,0.45960024,32,25
25,2,Beta,0.45394,32,26
25,2,Beta,0.45979464,32,31
25,2,Beta,0.45948598,32,33
25,2,Beta,0.46207437,32,46
25,2,Beta,0.4545555,32,98
25,2,Beta,0.45596457,33,18
25,2,Beta,0.45980987,33,22
25,2,Beta,0.46702754,33,24
25,2,Beta,0.45585978,33,26
25,2,Beta,0.45923114,33,30
25,2,Beta,0.45371592,33,31
25,2,Beta,0.45299703,33,32
25,2,Beta,0.46209356,33,42
25,2,Beta,0.45797813,33,74
25,2,Beta,0.4525727,33,98
25,2,Beta,0.4561899,39,18
25,2,Beta,0.4514539,39,26
25,2,Beta,0.44979814,39,42
25,2,Beta,0.45483604,40,9
25,2,Beta,0.4507561,42,18
25,2,Beta,0.44938654,42,25
25,2,Beta,0.45605773,42,26
25,2,Beta,0.45809317,42,31
25,2,Beta,0.4566512,42,33
25,2,Beta,0.45063847,42,39
25,2,Beta,0.462279,46,18
25,2,Beta,0.45715064,46,32
25,2,Beta,0.46264657,46,50
25,2,Beta,0.45920527,46,98
25,2,Beta,0.45247987,50,18
25,2,Beta,0.46203092,50,31
25,2,Beta,0.45999068,50,46
25,2,Beta,0.45593652,51,9
25,2,Beta,0.45776847,53,18
25,2,Beta,0.45796522,54,9
25,2,Beta,0.45501986,54,17
25,2,Beta,0.45664743,60,18
25,2,Beta,0.46218163,60,25
25,2,Beta,0.45611084,60,98
25,2,Beta,0.4596253,61,9
25,2,Beta,0.44894943,62,9
25,2,Beta,0.4562042,69,9
25,2,Beta,0.45986098,71,9
25,2,Beta,0.46226597,74,18
25,2,Beta,0.4628734,74,24
25,2,Beta,0.45637816,74,26
25,2,Beta,0.45377675,74,31
25,2,Beta,0.45349264,74,33
25,2,Beta,0.4519482,74,98
25,2,Beta,0.45802754,76,18
25,2,Beta,0.44956923,76,26
25,2,Beta,0.45641652,97,9
25,2,Beta,0.45909527,98,18
25,2,Beta,0.46659356,98,24
25,2,Beta,0.45644376,98,26
25,2,Beta,0.4570359,98,31
25,2,Beta,0.46367636,98,32
25,2,Beta,0.45930463,98,33
25,2,Beta,0.45913896,98,46
25,2,Beta,0.45989308,98,60
25,2,Beta,0.4588432,98,74
25,3,Beta,0.4525268,7,18
25,3,Beta,0.46477628,9,12
25,3,Beta,0.46290722,9,14
25,3,Beta,0.46441495,9,17
25,3,Beta,0.46492308,9,18
25,3,Beta,0.4718185,9,23
25,3,Beta,0.46212226,9,32
25,3,Beta,0.4541847,9,40
25,3,Beta,0.46808574,9,51
25,3,Beta,0.46282116,9,54
25,3,Beta,0.46313414,9,61
25,3,Beta,0.46451005,9,62
25,3,Beta,0.4657192,9,69
25,3,Beta,0.45927018,9,71
25,3,Beta,0.4604957,9,97
25,3,Beta,0.45493707,12,9
25,3,Beta,0.45750868,14,9
25,3,Beta,0.46037725,17,9
25,3,Beta,0.4617273,17,54
25,3,Beta,0.4725875,18,7
25,3,Beta,0.4627983,18,9
25,3,Beta,0.47035953,18,19
25,3,Beta,0.47366396,18,20
25,3,Beta,0.47104347,18,22
25,3,Beta,0.4752306,18,24
25,3,Beta,0.46457458,18,25
25,3,Beta,0.45782626,18,26
25,3,Beta,0.4705162,18,30
25,3,Beta,0.46056768,18,31
25,3,Beta,0.4658251,18,32
25,3,Beta,0.46626398,18,33
25,3,Beta,0.47079307,18,39
25,3,Beta,0.45941332,18,42
25,3,Beta,0.46242812,18,46
25,3,Beta,0.4694422,18,50
25,3,Beta,0.46776688,18,53
25,3,Beta,0.465553,18,60
25,3,Beta,0.46504986,18,74
25,3,Beta,0.47192803,18,76
25,3,Beta,0.4606209,18,98
25,3,Beta,0.4504298,19,18
25,3,Beta,0.4551059,20,18
25,3,Beta,0.45387006,22,18
25,3,Beta,0.4508264,22,32
25,3,Beta,0.46068394,22,33
25,3,Beta,0.45921582,23,9
25,3,Beta,0.45581254,24,18
25,3,Beta,0.45682612,24,25
25,3,Beta,0.4548385,24,26
25,3,Beta,0.4503813,24,30
25,3,Beta,0.45552203,24,31
25,3,Beta,0.45363677,24,32
25,3,Beta,0.4618333,24,33
25,3,Beta,0.4593776,24,74
25,3,Beta,0.44465917,24,98
25,3,Beta,0.45232946,25,18
25,3,Beta,0.46502993,25,24
25,3,Beta,0.45406494,25,26
25,3,Beta,0.4540747,25,32
25,3,Beta,0.45004258,25,42
25,3,Beta,0.45454848,25,60
25,3,Beta,0.45731056,26,18
25,3,Beta,0.46080342,26,24
25,3,Beta,0.46339342,26,25
25,3,Beta,0.45236802,26,31
25,3,Beta,0.45983702,26,32
25,3,Beta,0.46246728,26,33
25,3,Beta,0.46136093,26,39
25,3,Beta,0.4496831,26,42
25,3,Beta,0.45994082,26,74
25,3,Beta,0.4677244,26,76
25,3,Beta,0.457111,26,98
25,3,Beta,0.4552656,30,18
25,3,Beta,0.46452978,30,24
25,3,Beta,0.4608039,30,33
25,3,Beta,0.45347202,31,18
25,3,Beta,0.46573436,31,24
25,3,Beta,0.46073973,31,26
25,3,Beta,0.45790094,31,32
25,3,Beta,0.46073252,31,33
25,3,Beta,0.456872,31,42
25,3,Beta,0.46323702,31,50
25,3,Beta,0.45222485,31,74
25,3,Beta,0.45436445,31,98
25,3,Beta,0.4557458,32,9
25,3,Beta,0.4524056,32,18
25,3,Beta,0.46236563,32,22
25,3,Beta,0.46602753,32,24
25,3,Beta,0.46382535,32,25
25,3,Beta,0.45536852,32,26
25,3,Beta,0.45653448,32,31
25,3,Beta,0.46729457,32,33
25,3,Beta,0.46527606,32,46
25,3,Beta,0.46236175,32,98
25,3,Beta,0.45936036,33,18
25,3,Beta,0.45509902,33,22
25,3,Beta,0.46701294,33,24
25,3,Beta,0.455794,33,26
25,3,Beta,0.45563534,33,30
25,3,Beta,0.4566662,33,31
25,3,Beta,0.4584131,33,32
25,3,Beta,0.4591023,33,42
25,3,Beta,0.454726,33,74
25,3,Beta,0.45257294,33,98
25,3,Beta,0.45118976,39,18
25,3,Beta,0.44604498,39,26
25,3,Beta,0.4482749,39,42
25,3,Beta,0.45319813,40,9
25,3,Beta,0.4469366,42,18
25,3,Beta,0.4562859,42,25
25,3,Beta,0.44892094,42,26
25,3,Beta,0.45529464,42,31
25,3,Beta,0.45428136,42,33
25,3,Beta,0.44410294,42,39
25,3,Beta,0.45543468,46,18
25,3,Beta,0.4569333,46,32
25,3,Beta,0.46511832,46,50
25,3,Beta,0.45607716,46,98
25,3,Beta,0.4580036,50,18
25,3,Beta,0.4578212,50,31
25,3,Beta,0.46054408,50,46
25,3,Beta,0.45957857,51,9
25,3,Beta,0.45191562,53,18
25,3,Beta,0.4505629,54,9
25,3,Beta,0.45266563,54,17
25,3,Beta,0.450643,60,18
25,3,Beta,0.46199766,60,25
25,3,Beta,0.4514616,60,98
25,3,Beta,0.45331115,61,9
25,3,Beta,0.4508537,62,9
25,3,Beta,0.45860595,69,9
25,3,Beta,0.4588775,71,9
25,3,Beta,0.45858642,74,18
25,3,Beta,0.46440738,74,24
25,3,Beta,0.45731488,74,26
25,3,Beta,0.4571438,74,31
25,3,Beta,0.46402794,74,33
25,3,Beta,0.4528151,74,98
25,3,Beta,0.44547474,76,18
25,3,Beta,0.45006695,76,26
25,3,Beta,0.44574863,97,9
25,3,Beta,0.4625212,98,18
25,3,Beta,0.4622721,98,24
25,3,Beta,0.45694298,98,26
25,3,Beta,0.45843062,98,31
25,3,Beta,0.45301825,98,32
25,3,Beta,0.4682472,98,33
25,3,Beta,0.46315175,98,46
25,3,Beta,0.45535353,98,60
25,3,Beta,0.46090293,98,74
25,4,Beta,0.4592807,7,18
25,4,Beta,0.46257412,9,12
25,4,Beta,0.46637255,9,14
25,4,Beta,0.46738213,9,17
25,4,Beta,0.46463534,9,18
25,4,Beta,0.46639678,9,23
25,4,Beta,0.4677394,9,32
25,4,Beta,0.4583006,9,40
25,4,Beta,0.4692385,9,51
25,4,Beta,0.47054023,9,54
25,4,Beta,0.45859346,9,61
25,4,Beta,0.47029984,9,62
25,4,Beta,0.46673077,9,69
25,4,Beta,0.46780756,9,71
25,4,Beta,0.4689094,9,97
25,4,Beta,0.45421645,12,9
25,4,Beta,0.45636913,14,9
25,4,Beta,0.4577516,17,9
25,4,Beta,0.45941117,17,54
25,4,Beta,0.4825484,18,7
25,4,Beta,0.47121313,18,9
25,4,Beta,0.47845185,18,19
25,4,Beta,0.47798002,18,20
25,4,Beta,0.4713666,18,22
25,4,Beta,0.47861278,18,24
25,4,Beta,0.47419116,18,25
25,4,Beta,0.46943414,18,26
25,4,Beta,0.47328052,18,30
25,4,Beta,0.4670671,18,31
25,4,Beta,0.4723526,18,32
25,4,Beta,0.47803485,18,33
25,4,Beta,0.47861522,18,39
25,4,Beta,0.46878466,18,42
25,4,Beta,0.46839732,18,46
25,4,Beta,0.47633436,18,50
25,4,Beta,0.4814376,18,53
25,4,Beta,0.46387085,18,60
25,4,Beta,0.46932435,18,74
25,4,Beta,0.47851714,18,76
25,4,Beta,0.46947315,18,98
25,4,Beta,0.4545818,19,18
25,4,Beta,0.45680502,20,18
25,4,Beta,0.46050674,22,18
25,4,Beta,0.45817026,22,32
25,4,Beta,0.46095234,22,33
25,4,Beta,0.45511675,23,9
25,4,Beta,0.45556948,24,18
25,4,Beta,0.45916104,24,25
25,4,Beta,0.4503597,24,26
25,4,Beta,0.45688653,24,30
25,4,Beta,0.4628527,24,31
25,4,Beta,0.4591973,24,32
25,4,Beta,0.4601397,24,33
25,4,Beta,0.4577886,24,74
25,4,Beta,0.4554799,24,98
25,4,Beta,0.4527295,25,18
25,4,Beta,0.4626962,25,24
25,4,Beta,0.45735377,25,26
25,4,Beta,0.45709628,25,32
25,4,Beta,0.45488375,25,42
25,4,Beta,0.45094433,25,60
25,4,Beta,0.46042016,26,18
25,4,Beta,0.46773934,26,24
25,4,Beta,0.46695718,26,25
25,4,Beta,0.46026865,26,31
25,4,Beta,0.4659381,26,32
25,4,Beta,0.47169864,26,33
25,4,Beta,0.47233006,26,39
25,4,Beta,0.45594576,26,42
25,4,Beta,0.45779136,26,74
25,4,Beta,0.47183365,26,76
25,4,Beta,0.46123573,26,98
25,4,Beta,0.451045,30,18
25,4,Beta,0.4667122,30,24
25,4,Beta,0.46361044,30,33
25,4,Beta,0.45252213,31,18
25,4,Beta,0.46549946,31,24
25,4,Beta,0.45780283,31,26
25,4,Beta,0.46459487,31,32
25,4,Beta,0.46233085,31,33
25,4,Beta,0.45298395,31,42
25,4,Beta,0.47183004,31,50
25,4,Beta,0.46113187,31,74
25,4,Beta,0.4570328,31,98
25,4,Beta,0.4634951,32,9
25,4,Beta,0.45535743,32,18
25,4,Beta,0.4581692,32,22
25,4,Beta,0.46691602,32,24
25,4,Beta,0.46296358,32,25
25,4,Beta,0.46506304,32,26
25,4,Beta,0.45363975,32,31
25,4,Beta,0.4606251,32,33
25,4,Beta,0.46107382,32,46
25,4,Beta,0.45639047,32,98
25,4,Beta,0.45857066,33,18
25,4,Beta,0.46193165,33,22
25,4,Beta,0.46561524,33,24
25,4,Beta,0.45600337,33,26
25,4,Beta,0.46423388,33,30
25,4,Beta,0.4572421,33,31
25,4,Beta,0.46352994,33,32
25,4,Beta,0.45767182,33,42
25,4,Beta,0.4587371,33,74
25,4,Beta,0.4582371,33,98
25,4,Beta,0.45410395,39,18
25,4,Beta,0.44732672,39,26
25,4,Beta,0.45132738,39,42
25,4,Beta,0.458038,40,9
25,4,Beta,0.45464966,42,18
25,4,Beta,0.46189228,42,25
25,4,Beta,0.45387262,42,26
25,4,Beta,0.45510697,42,31
25,4,Beta,0.45745707,42,33
25,4,Beta,0.4592672,42,39
25,4,Beta,0.45662823,46,18
25,4,Beta,0.4579667,46,32
25,4,Beta,0.46176207,46,50
25,4,Beta,0.44941232,46,98
25,4,Beta,0.45933628,50,18
25,4,Beta,0.46045533,50,31
25,4,Beta,0.4543776,50,46
25,4,Beta,0.4572815,51,9
25,4,Beta,0.4617028,53,18
25,4,Beta,0.46287724,54,9
25,4,Beta,0.45614365,54,17
25,4,Beta,0.45547983,60,18
25,4,Beta,0.46172252,60,25
25,4,Beta,0.44681737,60,98
25,4,Beta,0.45178878,61,9
25,4,Beta,0.45453775,62,9
25,4,Beta,0.45211563,69,9
25,4,Beta,0.45879257,71,9
25,4,Beta,0.4576287,74,18
25,4,Beta,0.46250615,74,24
25,4,Beta,0.46020934,74,26
25,4,Beta,0.45432338,74,31
25,4,Beta,0.4668507,74,33
25,4,Beta,0.45134398,74,98
25,4,Beta,0.44749624,76,18
25,4,Beta,0.45263585,76,26
25,4,Beta,0.45788392,97,9
25,4,Beta,0.46248496,98,18
25,4,Beta,0.46591738,98,24
25,4,Beta,0.45562124,98,26
25,4,Beta,0.45867285,98,31
25,4,Beta,0.46250185,98,32
25,4,Beta,0.46330878,98,33
25,4,Beta,0.4622754,98,46
25,4,Beta,0.4664318,98,60
25,4,Beta,0.45494276,98,74
25,5,Beta,0.45104995,7,18
25,5,Beta,0.46487015,9,12
25,5,Beta,0.4732845,9,14
25,5,Beta,0.4688827,9,17
25,5,Beta,0.4668461,9,18
25,5,Beta,0.47030103,9,23
25,5,Beta,0.47544459,9,32
25,5,Beta,0.46388602,9,40
25,5,Beta,0.473762,9,51
25,5,Beta,0.4706339,9,54
25,5,Beta,0.46611664,9,61
25,5,Beta,0.47430292,9,62
25,5,Beta,0.4774183,9,69
25,5,Beta,0.47057584,9,71
25,5,Beta,0.46136063,9,97
25,5,Beta,0.45936894,12,9
25,5,Beta,0.4609773,14,9
25,5,Beta,0.45871416,17,9
25,5,Beta,0.469417,17,54
25,5,Beta,0.48624474,18,7
25,5,Beta,0.4782203,18,9
25,5,Beta,0.48385653,18,19
25,5,Beta,0.48418838,18,20
25,5,Beta,0.4770175,18,22
25,5,Beta,0.47871625,18,24
25,5,Beta,0.4759251,18,25
25,5,Beta,0.48034844,18,26
25,5,Beta,0.4746142,18,30
25,5,Beta,0.4712263,18,31
25,5,Beta,0.4757145,18,32
25,5,Beta,0.47634003,18,33
25,5,Beta,0.47776613,18,39
25,5,Beta,0.47287995,18,42
25,5,Beta,0.47920263,18,46
25,5,Beta,0.48508587,18,50
25,5,Beta,0.47993305,18,53
25,5,Beta,0.4696724,18,60
25,5,Beta,0.470169,18,74
25,5,Beta,0.48495996,18,76
25,5,Beta,0.47076532,18,98
25,5,Beta,0.4519265,19,18
25,5,Beta,0.4560329,20,18
25,5,Beta,0.45884052,22,18
25,5,Beta,0.45939696,22,32
25,5,Beta,0.4603852,22,33
25,5,Beta,0.45628956,23,9
25,5,Beta,0.45762208,24,18
25,5,Beta,0.46298715,24,25
25,5,Beta,0.45418125,24,26
25,5,Beta,0.45996132,24,30
25,5,Beta,0.4580124,24,31
25,5,Beta,0.4635036,24,32
25,5,Beta,0.45813477,24,33
25,5,Beta,0.45922554,24,74
25,5,Beta,0.4548334,24,98
25,5,Beta,0.4606919,25,18
25,5,Beta,0.46246952,25,24
25,5,Beta,0.46275094,25,26
25,5,Beta,0.46767738,25,32
25,5,Beta,0.4565296,25,42
25,5,Beta,0.45736367,25,60
25,5,Beta,0.46428907,26,18
25,5,Beta,0.4623827,26,24
25,5,Beta,0.45511582,26,25
25,5,Beta,0.46534574,26,31
25,5,Beta,0.4690954,26,32
25,5,Beta,0.46589574,26,33
25,5,Beta,0.46965796,26,39
25,5,Beta,0.45755714,26,42
25,5,Beta,0.45760712,26,74
25,5,Beta,0.469261,26,76
25,5,Beta,0.45755893,26,98
25,5,Beta,0.46042687,30,18
25,5,Beta,0.46671757,30,24
25,5,Beta,0.46436143,30,33
25,5,Beta,0.45647973,31,18
25,5,Beta,0.46196073,31,24
25,5,Beta,0.45633492,31,26
25,5,Beta,0.46941635,31,32
25,5,Beta,0.46873072,31,33
25,5,Beta,0.45334518,31,42
25,5,Beta,0.47359058,31,50
25,5,Beta,0.455144,31,74
25,5,Beta,0.45209596,31,98
25,5,Beta,0.46277222,32,9
25,5,Beta,0.46802446,32,18
25,5,Beta,0.46085536,32,22
25,5,Beta,0.46948883,32,24
25,5,Beta,0.47374228,32,25
25,5,Beta,0.46087006,32,26
25,5,Beta,0.46573067,32,31
25,5,Beta,0.458834,32,33
25,5,Beta,0.46812803,32,46
25,5,Beta,0.4575007,32,98
25,5,Beta,0.466049,33,18
25,5,Beta,0.45880938,33,22
25,5,Beta,0.45967978,33,24
25,5,Beta,0.45415938,33,26
25,5,Beta,0.46061566,33,30
25,5,Beta,0.47001705,33,31
25,5,Beta,0.4643114,33,32
25,5,Beta,0.45621508,33,42
25,5,Beta,0.4585634,33,74
25,5,Beta,0.4561269,33,98
25,5,Beta,0.46007988,39,18
25,5,Beta,0.44962016,39,26
25,5,Beta,0.4509546,39,42
25,5,Beta,0.45099068,40,9
25,5,Beta,0.45501488,42,18
25,5,Beta,0.45140752,42,25
25,5,Beta,0.45115668,42,26
25,5,Beta,0.4548759,42,31
25,5,Beta,0.45379004,42,33
25,5,Beta,0.45763302,42,39
25,5,Beta,0.45833272,46,18
25,5,Beta,0.46233627,46,32
25,5,Beta,0.46442086,46,50
25,5,Beta,0.45353612,46,98
25,5,Beta,0.45666984,50,18
25,5,Beta,0.4547728,50,31
25,5,Beta,0.46179733,50,46
25,5,Beta,0.45124707,51,9
25,5,Beta,0.45652714,53,18
25,5,Beta,0.45587495,54,9
25,5,Beta,0.45805225,54,17
25,5,Beta,0.4560349,60,18
25,5,Beta,0.4599005,60,25
25,5,Beta,0.44771802,60,98
25,5,Beta,0.45204487,61,9
25,5,Beta,0.45333555,62,9
25,5,Beta,0.45335016,69,9
25,5,Beta,0.4564101,71,9
25,5,Beta,0.4534942,74,18
25,5,Beta,0.46858564,74,24
25,5,Beta,0.4547588,74,26
25,5,Beta,0.4672544,74,31
25,5,Beta,0.46263602,74,33
25,5,Beta,0.46160582,74,98
25,5,Beta,0.4539065,76,18
25,5,Beta,0.4501847,76,26
25,5,Beta,0.45438394,97,9
25,5,Beta,0.46214896,98,18
25,5,Beta,0.46691808,98,24
25,5,Beta,0.45219877,98,26
25,5,Beta,0.46160355,98,31
25,5,Beta,0.46802804,98,32
25,5,Beta,0.46525577,98,33
25,5,Beta,0.4565439,98,46
25,5,Beta,0.46074727,98,60
25,5,Beta,0.450631,98,74
25,6,Beta,0.45612627,7,18
25,6,Beta,0.47062108,9,12
25,6,Beta,0.48037228,9,14
25,6,Beta,0.46883002,9,17
25,6,Beta,0.46711817,9,18
25,6,Beta,0.46713424,9,23
25,6,Beta,0.4729546,9,32
25,6,Beta,0.46793434,9,40
25,6,Beta,0.4774394,9,51
25,6,Beta,0.4729206,9,54
25,6,Beta,0.46895498,9,61
25,6,Beta,0.47323832,9,62
25,6,Beta,0.47539872,9,69
25,6,Beta,0.4694151,9,71
25,6,Beta,0.47049555,9,97
25,6,Beta,0.46016777,12,9
25,6,Beta,0.45187378,14,9
25,6,Beta,0.46163338,17,9
25,6,Beta,0.461708,17,54
25,6,Beta,0.49018204,18,7
25,6,Beta,0.47425488,18,9
25,6,Beta,0.48948184,18,19
25,6,Beta,0.4898957,18,20
25,6,Beta,0.47301504,18,22
25,6,Beta,0.4771648,18,24
25,6,Beta,0.48179755,18,25
