,Source,Explainer,Probability,P1,P2,Run
112,Wisconsin,Beta,0.5735049,98,35,1
113,Wisconsin,Beta,0.5582482,98,203,1
114,Wisconsin,Beta,0.568502,98,134,1
115,Wisconsin,Beta,0.54764014,98,56,1
116,Wisconsin,Beta,0.48122948,98,69,1
117,Wisconsin,Beta,0.6221563,98,23,1
118,Wisconsin,Beta,0.50340307,98,167,1
119,Wisconsin,Beta,0.5535243,98,202,1
120,Wisconsin,Beta,0.6341928,98,105,1
121,Wisconsin,Beta,0.54605305,98,183,1
122,Wisconsin,Beta,0.5041311,98,44,1
123,Wisconsin,Beta,0.5432456,98,77,1
124,Wisconsin,Beta,0.64023757,98,13,1
125,Wisconsin,Beta,0.43868217,98,58,1
126,Wisconsin,Beta,0.5705529,98,218,1
127,Wisconsin,Beta,0.45676968,64,57,1
128,Wisconsin,Beta,0.538549,64,234,1
129,Wisconsin,Beta,0.47293273,64,12,1
130,Wisconsin,Beta,0.5432417,212,75,1
131,Wisconsin,Beta,0.53479546,231,185,1
132,Wisconsin,Beta,0.50916,231,143,1
133,Wisconsin,Beta,0.51573145,231,75,1
134,Wisconsin,Beta,0.54940474,198,231,1
135,Wisconsin,Beta,0.48821723,198,147,1
136,Wisconsin,Beta,0.51432836,186,147,1
137,Wisconsin,Beta,0.5880407,186,67,1
138,Wisconsin,Beta,0.49542826,186,131,1
139,Wisconsin,Beta,0.46376246,186,160,1
140,Wisconsin,Beta,0.5164327,186,238,1
141,Wisconsin,Beta,0.5483414,186,15,1
142,Wisconsin,Beta,0.5214836,244,138,1
143,Wisconsin,Beta,0.6164101,244,187,1
144,Wisconsin,Beta,0.50386935,147,198,1
145,Wisconsin,Beta,0.5548919,147,67,1
146,Wisconsin,Beta,0.43208447,147,160,1
147,Wisconsin,Beta,0.48329794,147,238,1
148,Wisconsin,Beta,0.5762976,147,151,1
149,Wisconsin,Beta,0.4883139,147,184,1
150,Wisconsin,Beta,0.4809608,86,204,1
151,Wisconsin,Beta,0.49106842,86,52,1
152,Wisconsin,Beta,0.5669936,103,29,1
153,Wisconsin,Beta,0.58105695,103,41,1
154,Wisconsin,Beta,0.56100094,103,51,1
155,Wisconsin,Beta,0.53897715,163,93,1
156,Wisconsin,Beta,0.5535175,175,36,1
157,Wisconsin,Beta,0.5989275,188,128,1
158,Wisconsin,Beta,0.58929485,188,178,1
159,Wisconsin,Beta,0.53963673,188,173,1
160,Wisconsin,Beta,0.6673759,128,188,1
161,Wisconsin,Beta,0.59351194,128,207,1
162,Wisconsin,Beta,0.5779198,128,178,1
163,Wisconsin,Beta,0.53057337,128,173,1
164,Wisconsin,Beta,0.5920106,207,208,1
165,Wisconsin,Beta,0.49175382,207,178,1
166,Wisconsin,Beta,0.4475116,207,173,1
167,Wisconsin,Beta,0.632772,208,178,1
168,Wisconsin,Beta,0.58661705,208,173,1
169,Wisconsin,Beta,0.56902367,190,204,1
170,Wisconsin,Beta,0.5745977,190,52,1
171,Wisconsin,Beta,0.41839316,176,53,1
172,Wisconsin,Beta,0.47321773,102,85,1
173,Wisconsin,Beta,0.5591412,102,31,1
174,Wisconsin,Beta,0.43484113,48,221,1
175,Wisconsin,Beta,0.39900967,48,211,1
176,Wisconsin,Beta,0.4443576,114,204,1
177,Wisconsin,Beta,0.45020983,114,52,1
178,Wisconsin,Beta,0.4769872,170,243,1
179,Wisconsin,Beta,0.5234381,170,6,1
180,Wisconsin,Beta,0.61106753,170,54,1
181,Wisconsin,Beta,0.54589,170,35,1
182,Wisconsin,Beta,0.57002145,243,170,1
183,Wisconsin,Beta,0.48367447,6,170,1
184,Wisconsin,Beta,0.5496342,57,204,1
185,Wisconsin,Beta,0.5550536,57,52,1
186,Wisconsin,Beta,0.5455955,211,97,1
187,Wisconsin,Beta,0.5103717,211,115,1
188,Wisconsin,Beta,0.5631828,211,5,1
189,Wisconsin,Beta,0.45831496,29,41,1
190,Wisconsin,Beta,0.4925788,29,126,1
191,Wisconsin,Beta,0.5801506,233,142,1
192,Wisconsin,Beta,0.4823916,144,144,1
193,Wisconsin,Beta,0.46388945,144,12,1
194,Wisconsin,Beta,0.5946104,108,144,1
195,Wisconsin,Beta,0.5062656,118,198,1
196,Wisconsin,Beta,0.5246833,118,37,1
197,Wisconsin,Beta,0.5075238,96,217,1
198,Wisconsin,Beta,0.4759749,96,112,1
199,Wisconsin,Beta,0.5493011,20,170,1
200,Wisconsin,Beta,0.4759023,20,243,1
201,Wisconsin,Beta,0.5843515,20,149,1
202,Wisconsin,Beta,0.54812044,20,35,1
203,Wisconsin,Beta,0.5915523,204,190,1
204,Wisconsin,Beta,0.55699956,204,57,1
205,Wisconsin,Beta,0.55469376,204,97,1
206,Wisconsin,Beta,0.5182033,204,115,1
207,Wisconsin,Beta,0.6004216,204,49,1
208,Wisconsin,Beta,0.5271778,204,66,1
209,Wisconsin,Beta,0.570082,204,5,1
210,Wisconsin,Beta,0.5123281,97,211,1
211,Wisconsin,Beta,0.54982096,97,45,1
212,Wisconsin,Beta,0.5072161,97,168,1
213,Wisconsin,Beta,0.4967255,0,20,1
214,Wisconsin,Beta,0.52911675,0,28,1
215,Wisconsin,Beta,0.49980536,0,104,1
216,Wisconsin,Beta,0.44773564,0,99,1
217,Wisconsin,Beta,0.64142,0,200,1
218,Wisconsin,Beta,0.7293129,7,0,1
219,Wisconsin,Beta,0.6289296,7,242,1
220,Wisconsin,Beta,0.61796516,242,170,1
221,Wisconsin,Beta,0.59057903,242,6,1
222,Wisconsin,Beta,0.66029495,242,233,1
223,Wisconsin,Beta,0.5475654,242,109,1
224,Wisconsin,Beta,0.6137178,242,7,1
225,Wisconsin,Beta,0.6523064,242,150,1
226,Wisconsin,Beta,0.5923399,242,194,1
227,Wisconsin,Beta,0.50971794,242,215,1
228,Wisconsin,Beta,0.59948874,242,171,1
229,Wisconsin,Beta,0.6183701,242,38,1
230,Wisconsin,Beta,0.64629495,242,149,1
231,Wisconsin,Beta,0.69388574,242,24,1
232,Wisconsin,Beta,0.5737267,242,249,1
233,Wisconsin,Beta,0.5893319,242,28,1
234,Wisconsin,Beta,0.5526754,242,205,1
235,Wisconsin,Beta,0.56030196,242,148,1
236,Wisconsin,Beta,0.6082547,242,21,1
237,Wisconsin,Beta,0.6422031,242,74,1
238,Wisconsin,Beta,0.5411027,242,167,1
239,Wisconsin,Beta,0.5945356,242,202,1
240,Wisconsin,Beta,0.686283,217,96,1
241,Wisconsin,Beta,0.54476696,217,217,1
242,Wisconsin,Beta,0.540136,112,112,1
243,Wisconsin,Beta,0.5487337,4,195,1
244,Wisconsin,Beta,0.6483997,158,229,1
245,Wisconsin,Beta,0.41633856,199,84,1
246,Wisconsin,Beta,0.46246803,199,8,1
247,Wisconsin,Beta,0.4184645,199,145,1
248,Wisconsin,Beta,0.4242345,199,32,1
249,Wisconsin,Beta,0.5073586,53,33,1
250,Wisconsin,Beta,0.50842774,53,216,1
251,Wisconsin,Beta,0.5572965,53,195,1
252,Wisconsin,Beta,0.5226066,89,211,1
253,Wisconsin,Beta,0.52978927,89,216,1
254,Wisconsin,Beta,0.57785237,89,195,1
255,Wisconsin,Beta,0.57523274,89,202,1
256,Wisconsin,Beta,0.51448447,152,57,1
257,Wisconsin,Beta,0.47670758,152,211,1
258,Wisconsin,Beta,0.48428184,152,216,1
259,Wisconsin,Beta,0.5308175,152,12,1
260,Wisconsin,Beta,0.6099822,152,105,1
261,Wisconsin,Beta,0.58855957,34,132,1
262,Wisconsin,Beta,0.5549926,34,104,1
263,Wisconsin,Beta,0.53835946,91,171,1
264,Wisconsin,Beta,0.5675137,91,123,1
265,Wisconsin,Beta,0.46622655,91,145,1
266,Wisconsin,Beta,0.47605187,178,41,1
267,Wisconsin,Beta,0.4575158,178,173,1
268,Wisconsin,Beta,0.49162677,178,122,1
269,Wisconsin,Beta,0.6146967,178,180,1
270,Wisconsin,Beta,0.51331747,241,29,1
271,Wisconsin,Beta,0.53042394,241,41,1
272,Wisconsin,Beta,0.5125628,241,51,1
273,Wisconsin,Beta,0.58071965,113,25,1
274,Wisconsin,Beta,0.66201437,82,25,1
275,Wisconsin,Beta,0.6137156,25,113,1
276,Wisconsin,Beta,0.5973926,25,82,1
277,Wisconsin,Beta,0.6213323,228,25,1
278,Wisconsin,Beta,0.49920616,156,152,1
279,Wisconsin,Beta,0.45312363,156,143,1
280,Wisconsin,Beta,0.5195661,156,172,1
281,Wisconsin,Beta,0.49458265,156,225,1
282,Wisconsin,Beta,0.50784004,156,183,1
283,Wisconsin,Beta,0.62198675,160,67,1
284,Wisconsin,Beta,0.593387,160,61,1
285,Wisconsin,Beta,0.61879396,160,232,1
286,Wisconsin,Beta,0.58851135,116,20,1
287,Wisconsin,Beta,0.60834444,87,54,1
288,Wisconsin,Beta,0.5629485,87,229,1
289,Wisconsin,Beta,0.7412215,127,54,1
290,Wisconsin,Beta,0.55701464,54,170,1
291,Wisconsin,Beta,0.4826289,54,2,1
292,Wisconsin,Beta,0.53495497,54,159,1
293,Wisconsin,Beta,0.5470579,54,119,1
294,Wisconsin,Beta,0.5660315,54,46,1
295,Wisconsin,Beta,0.52651036,54,165,1
296,Wisconsin,Beta,0.5060794,54,129,1
297,Wisconsin,Beta,0.56590265,150,194,1
298,Wisconsin,Beta,0.63509285,194,150,1
299,Wisconsin,Beta,0.65171784,138,100,1
300,Wisconsin,Beta,0.55488914,106,93,1
301,Wisconsin,Beta,0.43927035,41,29,1
302,Wisconsin,Beta,0.48465905,41,178,1
303,Wisconsin,Beta,0.5392268,245,32,1
304,Wisconsin,Beta,0.5470492,245,168,1
305,Wisconsin,Beta,0.569138,245,104,1
306,Wisconsin,Beta,0.49655473,240,104,1
307,Wisconsin,Beta,0.6074106,51,241,1
308,Wisconsin,Beta,0.60574365,51,39,1
309,Wisconsin,Beta,0.5544119,70,204,1
310,Wisconsin,Beta,0.5655014,70,52,1
311,Wisconsin,Beta,0.5487842,39,51,1
312,Wisconsin,Beta,0.5660502,215,171,1
313,Wisconsin,Beta,0.46869984,171,215,1
314,Wisconsin,Beta,0.5615033,171,171,1
315,Wisconsin,Beta,0.45643258,172,156,1
316,Wisconsin,Beta,0.56080467,38,145,1
317,Wisconsin,Beta,0.5794541,145,38,1
318,Wisconsin,Beta,0.48886177,224,137,1
319,Wisconsin,Beta,0.54881746,83,20,1
320,Wisconsin,Beta,0.5481233,83,90,1
321,Wisconsin,Beta,0.5961542,90,83,1
322,Wisconsin,Beta,0.50513244,45,97,1
323,Wisconsin,Beta,0.47146347,45,115,1
324,Wisconsin,Beta,0.52208126,45,5,1
325,Wisconsin,Beta,0.49668136,71,204,1
326,Wisconsin,Beta,0.50959057,71,52,1
327,Wisconsin,Beta,0.513278,141,97,1
328,Wisconsin,Beta,0.4767287,141,115,1
329,Wisconsin,Beta,0.5293296,141,5,1
330,Wisconsin,Beta,0.6041467,153,153,1
331,Wisconsin,Beta,0.5084408,196,32,1
332,Wisconsin,Beta,0.45194063,32,97,1
333,Wisconsin,Beta,0.4195147,32,115,1
334,Wisconsin,Beta,0.4700333,32,5,1
335,Wisconsin,Beta,0.6044541,225,156,1
336,Wisconsin,Beta,0.49934688,49,204,1
337,Wisconsin,Beta,0.50897104,49,52,1
338,Wisconsin,Beta,0.45890614,162,51,1
339,Wisconsin,Beta,0.4360126,192,73,1
340,Wisconsin,Beta,0.52761585,192,112,1
341,Wisconsin,Beta,0.6226154,192,34,1
342,Wisconsin,Beta,0.5383229,192,41,1
343,Wisconsin,Beta,0.5629165,192,125,1
344,Wisconsin,Beta,0.6051985,192,192,1
345,Wisconsin,Beta,0.5209396,192,173,1
346,Wisconsin,Beta,0.59024006,192,140,1
347,Wisconsin,Beta,0.5572544,192,122,1
348,Wisconsin,Beta,0.60471755,192,31,1
349,Wisconsin,Beta,0.51027316,81,97,1
350,Wisconsin,Beta,0.47292355,81,115,1
351,Wisconsin,Beta,0.5246046,81,5,1
352,Wisconsin,Beta,0.541335,223,89,1
353,Wisconsin,Beta,0.5260319,223,202,1
354,Wisconsin,Beta,0.5108925,168,97,1
355,Wisconsin,Beta,0.47908896,168,115,1
356,Wisconsin,Beta,0.53279465,168,5,1
357,Wisconsin,Beta,0.54009503,201,207,1
358,Wisconsin,Beta,0.52071726,201,8,1
359,Wisconsin,Beta,0.44173154,26,201,1
360,Wisconsin,Beta,0.7572817,173,65,1
361,Wisconsin,Beta,0.7868297,173,26,1
362,Wisconsin,Beta,0.7289184,173,226,1
363,Wisconsin,Beta,0.5900656,173,182,1
364,Wisconsin,Beta,0.6218112,173,122,1
365,Wisconsin,Beta,0.54157174,149,62,1
366,Wisconsin,Beta,0.48996356,24,62,1
367,Wisconsin,Beta,0.56089646,164,37,1
368,Wisconsin,Beta,0.5713219,166,191,1
369,Wisconsin,Beta,0.50069207,249,117,1
370,Wisconsin,Beta,0.5629468,117,249,1
371,Wisconsin,Beta,0.46788725,117,117,1
372,Wisconsin,Beta,0.48974425,28,28,1
373,Wisconsin,Beta,0.4624913,28,104,1
374,Wisconsin,Beta,0.60419744,2,54,1
375,Wisconsin,Beta,0.5554975,68,126,1
376,Wisconsin,Beta,0.56754094,205,169,1
377,Wisconsin,Beta,0.5243618,169,205,1
378,Wisconsin,Beta,0.5820455,169,169,1
379,Wisconsin,Beta,0.49276567,79,132,1
380,Wisconsin,Beta,0.43244487,79,29,1
381,Wisconsin,Beta,0.49278063,79,213,1
382,Wisconsin,Beta,0.4652629,79,68,1
383,Wisconsin,Beta,0.4947668,79,79,1
384,Wisconsin,Beta,0.49857646,79,193,1
385,Wisconsin,Beta,0.4799727,79,126,1
386,Wisconsin,Beta,0.41850284,79,69,1
387,Wisconsin,Beta,0.5969518,148,229,1
388,Wisconsin,Beta,0.5178648,229,148,1
389,Wisconsin,Beta,0.548636,236,97,1
390,Wisconsin,Beta,0.5176592,236,115,1
391,Wisconsin,Beta,0.5701843,236,5,1
392,Wisconsin,Beta,0.47706315,197,84,1
393,Wisconsin,Beta,0.58386135,197,232,1
394,Wisconsin,Beta,0.48245063,197,209,1
395,Wisconsin,Beta,0.5579078,197,37,1
396,Wisconsin,Beta,0.63124347,197,13,1
397,Wisconsin,Beta,0.5579103,151,37,1
398,Wisconsin,Beta,0.55510837,121,42,1
399,Wisconsin,Beta,0.5680578,121,161,1
400,Wisconsin,Beta,0.5848088,121,120,1
401,Wisconsin,Beta,0.65452766,50,230,1
402,Wisconsin,Beta,0.59988517,50,135,1
403,Wisconsin,Beta,0.55355537,50,85,1
404,Wisconsin,Beta,0.59597266,50,72,1
405,Wisconsin,Beta,0.5672593,50,44,1
406,Wisconsin,Beta,0.6391638,50,31,1
407,Wisconsin,Beta,0.42013487,120,121,1
408,Wisconsin,Beta,0.4921811,120,161,1
409,Wisconsin,Beta,0.4546267,120,157,1
410,Wisconsin,Beta,0.50886947,120,120,1
411,Wisconsin,Beta,0.44339418,154,209,1
412,Wisconsin,Beta,0.61433244,184,156,1
413,Wisconsin,Beta,0.5157856,184,75,1
414,Wisconsin,Beta,0.57582456,21,22,1
415,Wisconsin,Beta,0.56533027,22,21,1
416,Wisconsin,Beta,0.5903355,22,22,1
417,Wisconsin,Beta,0.5048322,210,225,1
418,Wisconsin,Beta,0.5143548,210,183,1
419,Wisconsin,Beta,0.39592192,179,158,1
420,Wisconsin,Beta,0.54104006,75,199,1
421,Wisconsin,Beta,0.6469631,75,156,1
422,Wisconsin,Beta,0.61108536,75,172,1
423,Wisconsin,Beta,0.64103466,75,153,1
424,Wisconsin,Beta,0.59026766,75,184,1
425,Wisconsin,Beta,0.6005715,75,183,1
426,Wisconsin,Beta,0.59326214,75,77,1
427,Wisconsin,Beta,0.5336094,12,12,1
428,Wisconsin,Beta,0.5478803,232,209,1
429,Wisconsin,Beta,0.5712203,66,3,1
430,Wisconsin,Beta,0.5020841,3,204,1
431,Wisconsin,Beta,0.5079286,3,52,1
432,Wisconsin,Beta,0.6676214,146,136,1
433,Wisconsin,Beta,0.58453107,222,20,1
434,Wisconsin,Beta,0.4345704,5,32,1
435,Wisconsin,Beta,0.47586474,101,97,1
436,Wisconsin,Beta,0.44394764,101,115,1
437,Wisconsin,Beta,0.49346578,101,5,1
438,Wisconsin,Beta,0.5658059,140,140,1
439,Wisconsin,Beta,0.48271987,226,41,1
440,Wisconsin,Beta,0.68955505,119,129,1
441,Wisconsin,Beta,0.6585002,46,54,1
442,Wisconsin,Beta,0.5894121,46,119,1
443,Wisconsin,Beta,0.5550399,46,129,1
444,Wisconsin,Beta,0.52644974,165,159,1
445,Wisconsin,Beta,0.50092244,165,129,1
446,Wisconsin,Beta,0.59046906,129,54,1
447,Wisconsin,Beta,0.5074596,129,159,1
448,Wisconsin,Beta,0.5188932,129,119,1
449,Wisconsin,Beta,0.5384925,129,46,1
450,Wisconsin,Beta,0.50265163,129,165,1
451,Wisconsin,Beta,0.557276,78,87,1
452,Wisconsin,Beta,0.5105919,189,171,1
453,Wisconsin,Beta,0.5247345,189,93,1
454,Wisconsin,Beta,0.65280706,92,163,1
455,Wisconsin,Beta,0.5850091,92,170,1
456,Wisconsin,Beta,0.5565387,92,161,1
457,Wisconsin,Beta,0.58566517,92,93,1
458,Wisconsin,Beta,0.5295422,11,87,1
459,Wisconsin,Beta,0.5705132,11,127,1
460,Wisconsin,Beta,0.614156,47,11,1
461,Wisconsin,Beta,0.47791353,126,29,1
462,Wisconsin,Beta,0.51589304,126,68,1
463,Wisconsin,Beta,0.46377608,126,69,1
464,Wisconsin,Beta,0.5935986,214,37,1
465,Wisconsin,Beta,0.5462318,37,191,1
466,Wisconsin,Beta,0.518329,37,214,1
467,Wisconsin,Beta,0.55407304,37,37,1
468,Wisconsin,Beta,0.5515843,122,178,1
469,Wisconsin,Beta,0.52519196,122,41,1
470,Wisconsin,Beta,0.56646276,130,139,1
471,Wisconsin,Beta,0.60426223,130,18,1
472,Wisconsin,Beta,0.5333737,248,132,1
473,Wisconsin,Beta,0.53387177,181,155,1
474,Wisconsin,Beta,0.52820647,155,204,1
475,Wisconsin,Beta,0.53878725,155,52,1
476,Wisconsin,Beta,0.5891153,155,181,1
477,Wisconsin,Beta,0.5142298,246,97,1
478,Wisconsin,Beta,0.48006874,246,115,1
479,Wisconsin,Beta,0.5326599,246,5,1
480,Wisconsin,Beta,0.54400486,35,20,1
481,Wisconsin,Beta,0.62898856,250,35,1
482,Wisconsin,Beta,0.6058845,200,247,1
483,Wisconsin,Beta,0.5706043,180,178,1
484,Wisconsin,Beta,0.52055657,30,204,1
485,Wisconsin,Beta,0.5277265,30,52,1
486,Wisconsin,Beta,0.44332916,74,203,1
487,Wisconsin,Beta,0.5939165,203,74,1
488,Wisconsin,Beta,0.55288494,203,203,1
489,Wisconsin,Beta,0.4868617,69,29,1
490,Wisconsin,Beta,0.5013504,69,41,1
491,Wisconsin,Beta,0.5337022,69,126,1
492,Wisconsin,Beta,0.42775023,167,202,1
493,Wisconsin,Beta,0.48697588,202,167,1
494,Wisconsin,Beta,0.5705979,43,217,1
495,Wisconsin,Beta,0.610437,183,156,1
496,Wisconsin,Beta,0.55066663,44,178,1
497,Wisconsin,Beta,0.60458225,44,241,1
498,Wisconsin,Beta,0.52166075,44,41,1
499,Wisconsin,Beta,0.49658385,44,9,1
500,Wisconsin,Beta,0.5037004,44,173,1
501,Wisconsin,Beta,0.5759617,44,140,1
502,Wisconsin,Beta,0.5114687,44,182,1
503,Wisconsin,Beta,0.544646,44,122,1
504,Wisconsin,Beta,0.5846643,44,31,1
505,Wisconsin,Beta,0.54269344,107,217,1
506,Wisconsin,Beta,0.5857409,107,124,1
507,Wisconsin,Beta,0.5654416,107,10,1
508,Wisconsin,Beta,0.5524734,107,183,1
509,Wisconsin,Beta,0.51105917,239,167,1
510,Wisconsin,Beta,0.51711994,206,33,1
511,Wisconsin,Beta,0.5662644,206,171,1
512,Wisconsin,Beta,0.52654135,206,201,1
513,Wisconsin,Beta,0.44696885,58,12,1
514,Wisconsin,Beta,0.5312938,219,63,1
515,Wisconsin,Beta,0.5278494,63,78,2
516,Wisconsin,Beta,0.6095054,63,92,2
517,Wisconsin,Beta,0.5398224,27,63,2
518,Wisconsin,Beta,0.4734217,27,111,2
519,Wisconsin,Beta,0.6069078,110,12,2
520,Wisconsin,Beta,0.5573686,98,63,2
521,Wisconsin,Beta,0.5540289,98,27,2
522,Wisconsin,Beta,0.4984232,98,244,2
523,Wisconsin,Beta,0.5863135,98,147,2
524,Wisconsin,Beta,0.5386134,98,86,2
525,Wisconsin,Beta,0.5006012,98,163,2
526,Wisconsin,Beta,0.6030819,98,132,2
527,Wisconsin,Beta,0.50496304,98,175,2
528,Wisconsin,Beta,0.5254335,98,19,2
529,Wisconsin,Beta,0.5570549,98,17,2
530,Wisconsin,Beta,0.51091194,98,190,2
531,Wisconsin,Beta,0.64609164,98,102,2
532,Wisconsin,Beta,0.65888935,98,114,2
533,Wisconsin,Beta,0.54448265,98,170,2
534,Wisconsin,Beta,0.55927306,98,243,2
535,Wisconsin,Beta,0.5680163,98,6,2
536,Wisconsin,Beta,0.5739569,98,57,2
537,Wisconsin,Beta,0.4980982,98,67,2
538,Wisconsin,Beta,0.54290473,98,211,2
539,Wisconsin,Beta,0.5493668,98,29,2
540,Wisconsin,Beta,0.54562706,98,33,2
541,Wisconsin,Beta,0.55844367,98,144,2
542,Wisconsin,Beta,0.622583,98,109,2
543,Wisconsin,Beta,0.6227502,98,96,2
544,Wisconsin,Beta,0.5453697,98,204,2
545,Wisconsin,Beta,0.543031,98,52,2
546,Wisconsin,Beta,0.5200843,98,59,2
547,Wisconsin,Beta,0.5509342,98,60,2
548,Wisconsin,Beta,0.67478055,98,4,2
549,Wisconsin,Beta,0.48533016,98,131,2
550,Wisconsin,Beta,0.6898083,98,174,2
551,Wisconsin,Beta,0.5276681,98,113,2
552,Wisconsin,Beta,0.46605572,98,82,2
553,Wisconsin,Beta,0.5609197,98,25,2
554,Wisconsin,Beta,0.5630206,98,54,2
555,Wisconsin,Beta,0.5940585,98,138,2
556,Wisconsin,Beta,0.5615436,98,213,2
557,Wisconsin,Beta,0.56263816,98,41,2
558,Wisconsin,Beta,0.617179,98,177,2
