,seed,prob,p1,p2,class 1,class 2
187,0,9.943223e-05,70,147,4,2
188,0,0.000101079415,72,108,3,2
189,0,0.000103069186,73,66,4,0
190,0,0.0,73,73,4,4
191,0,8.256941e-05,73,158,4,0
192,0,0.00010175735,74,22,4,3
193,0,8.0555306e-05,74,48,4,0
194,0,0.00010190651,75,116,3,3
195,0,0.000102716265,78,34,0,4
196,0,0.000104127896,78,146,0,3
197,0,9.9962155e-05,79,82,3,2
198,0,0.00010356139,80,66,4,0
199,0,9.5024574e-05,81,58,3,2
200,0,0.00010157462,82,64,2,3
201,0,0.00010298145,82,79,2,3
202,0,8.880722e-05,82,133,2,4
203,0,0.00010282779,82,144,2,3
204,0,0.00010084499,83,37,4,3
205,0,9.8748606e-05,83,39,4,3
206,0,9.4340285e-05,83,140,4,2
207,0,0.00010422296,84,23,2,3
208,0,0.0001051294,84,31,2,3
209,0,0.000105542735,84,34,2,4
210,0,0.000103891056,84,47,2,2
211,0,0.00010481409,84,62,2,3
212,0,0.0001045061,84,127,2,2
213,0,0.00010462795,84,147,2,2
214,0,0.00010505925,84,153,2,3
215,0,0.0001044296,85,16,4,3
216,0,0.0,86,86,3,3
217,0,9.921657e-05,87,116,3,3
218,0,9.148588e-05,88,102,0,4
219,0,0.9999579,89,151,3,4
220,0,0.0,90,90,3,3
221,0,9.173485e-05,90,140,3,2
222,0,9.416709e-05,92,15,0,4
223,0,9.425252e-05,95,46,4,2
224,0,0.00010206065,95,66,4,0
225,0,8.427251e-05,95,76,4,0
226,0,0.0,95,95,4,4
227,0,7.285191e-05,95,157,4,2
228,0,9.112768e-05,99,79,4,3
229,0,9.110665e-05,99,94,4,3
230,0,8.801062e-05,99,132,4,3
231,0,0.000102269034,100,131,0,4
232,0,9.778784e-05,101,5,0,3
233,0,0.00010253023,102,58,4,2
234,0,0.000106098836,102,66,4,0
235,0,0.0,102,102,4,4
236,0,9.025043e-05,105,144,0,3
237,0,7.341876e-05,106,9,4,0
238,0,5.4072156e-05,107,108,3,2
239,0,0.00010240976,108,11,2,3
240,0,9.080179e-05,108,45,2,3
241,0,9.073929e-05,108,72,2,3
242,0,9.5470066e-05,111,85,0,4
243,0,9.209851e-05,114,49,0,3
244,0,9.982365e-05,116,76,3,0
245,0,0.00010069537,117,146,4,3
246,0,9.537189e-05,119,58,3,2
247,0,7.309463e-05,120,140,3,2
248,0,5.8872196e-05,120,156,3,0
249,0,9.1821676e-05,122,167,3,2
250,0,0.000103647435,123,16,0,3
251,0,9.974971e-05,125,54,2,3
252,0,0.00010419256,126,16,4,3
253,0,8.883967e-05,126,18,4,0
254,0,9.9914694e-05,126,29,4,2
255,0,9.940778e-05,127,23,2,3
256,0,0.00010084614,127,31,2,3
257,0,0.00010063413,127,55,2,3
258,0,0.000100671845,127,62,2,3
259,0,0.00010525318,127,84,2,2
260,0,0.000101896396,127,129,2,3
261,0,0.00010029825,127,153,2,3
262,0,9.967241e-05,127,171,2,4
263,0,8.984556e-05,130,24,0,3
264,0,0.000103334794,131,66,4,0
265,0,0.00010530086,131,84,4,2
266,0,8.235246e-05,131,100,4,0
267,0,8.2533516e-05,131,138,4,0
268,0,9.00018e-05,131,168,4,0
269,0,0.00010202192,133,16,4,3
270,0,9.777123e-05,133,64,4,3
271,0,9.561821e-05,133,82,4,2
272,0,9.956735e-05,133,178,4,3
273,0,0.0,134,134,3,3
274,0,6.481297e-05,139,18,3,0
275,0,0.0001019906,140,39,2,3
276,0,9.282415e-05,140,83,2,4
277,0,0.000102533064,140,90,2,3
278,0,6.7044595e-05,141,48,3,0
279,0,9.612303e-05,141,116,3,3
280,0,9.919689e-05,144,82,3,2
281,0,8.5979904e-05,145,168,3,0
282,0,9.799497e-05,148,146,3,3
283,0,0.0,148,148,3,3
284,0,9.0796246e-05,148,159,3,2
285,0,9.913742e-05,151,66,4,0
286,0,9.1837086e-05,151,89,4,3
287,0,6.724264e-05,151,152,4,3
288,0,0.0,156,156,0,0
289,0,9.269669e-05,158,73,0,4
290,0,0.00010129449,159,44,2,3
291,0,0.00010281073,159,59,2,4
292,0,0.000103272345,159,150,2,3
293,0,0.000103299826,160,116,3,3
294,0,0.00010091954,161,116,3,3
295,0,0.00010354845,162,29,4,2
296,0,0.000105133404,162,66,4,0
297,0,9.452479e-05,163,58,3,2
298,0,0.0,163,163,3,3
299,0,0.00010600196,164,146,0,3
300,0,0.000104697414,168,131,0,4
301,0,9.644411e-05,171,6,4,0
302,0,0.0001003189,171,66,4,0
303,0,0.000103681545,171,84,4,2
304,0,8.221028e-05,171,113,4,0
305,0,9.859673e-05,171,129,4,3
306,0,7.606925e-05,172,113,3,0
307,0,7.938278e-05,173,8,2,3
308,0,9.516213e-05,173,55,2,3
309,0,0.000100951685,173,84,2,2
310,0,5.8202335e-05,173,96,2,3
311,0,8.938181e-05,173,131,2,4
312,0,0.9999515,173,145,2,3
313,0,5.8078695e-05,173,175,2,3
314,0,8.893163e-05,174,15,0,4
315,0,0.0,175,175,3,3
316,0,9.7827746e-05,176,80,0,4
317,0,9.729959e-05,177,84,4,2
318,0,7.774682e-05,177,156,4,0
319,0,9.206304e-05,177,167,4,2
320,0,0.0001008323,180,47,4,2
321,0,0.000104559134,180,66,4,0
322,0,0.00010496472,180,84,4,2
323,0,0.0,180,180,4,4
324,0,8.753679e-05,182,29,3,2
325,68268,7.993434e-05,0,58,3,2
326,68268,0.99994874,0,121,3,0
327,68268,8.458143e-05,1,80,0,4
328,68268,6.193498e-05,2,8,2,3
329,68268,9.717961e-05,4,66,4,0
330,68268,0.00010290558,4,146,4,3
331,68268,0.9999453,4,164,4,0
332,68268,5.3455224e-05,7,14,0,3
333,68268,9.453678e-05,7,34,0,4
334,68268,8.10915e-05,10,108,3,2
335,68268,9.778932e-05,11,94,3,3
336,68268,9.685765e-05,11,108,3,2
337,68268,0.0,13,13,3,3
338,68268,9.711596e-05,13,58,3,2
339,68268,0.0,15,15,4,4
340,68268,0.000102653896,15,16,4,3
341,68268,0.000101020734,15,22,4,3
342,68268,0.00010037823,15,65,4,3
343,68268,0.000100787016,15,165,4,3
344,68268,0.00010003147,17,29,3,2
345,68268,9.652553e-05,18,126,0,4
346,68268,0.9999541,20,5,0,3
347,68268,7.469428e-05,20,15,0,4
348,68268,8.121494e-05,20,16,0,3
349,68268,0.9999355,20,115,0,3
350,68268,9.998789e-05,23,127,3,2
351,68268,0.00010066686,23,147,3,2
352,68268,9.525845e-05,25,84,1,2
353,68268,9.127379e-05,25,167,1,2
354,68268,0.00010088846,28,80,0,4
355,68268,0.00010336032,28,146,0,3
356,68268,0.000101875514,29,17,2,3
357,68268,0.00010163459,29,97,2,3
358,68268,8.606982e-05,29,162,2,4
359,68268,0.00010086547,30,146,3,3
360,68268,9.935821e-05,30,159,3,2
361,68268,0.0,34,34,4,4
362,68268,0.00010520151,34,66,4,0
363,68268,0.000105706,34,84,4,2
364,68268,9.401338e-05,36,21,2,3
365,68268,0.9999496,36,60,2,4
366,68268,9.709717e-05,39,140,3,2
367,68268,8.330651e-05,40,24,0,3
368,68268,9.586591e-05,41,66,4,0
369,68268,9.84192e-05,41,84,4,2
370,68268,9.2376285e-05,41,104,4,3
371,68268,9.424623e-05,41,118,4,3
372,68268,9.022032e-05,42,34,0,4
373,68268,9.407473e-05,42,93,0,3
374,68268,0.00010195579,44,159,3,2
375,68268,0.0,45,45,3,3
376,68268,9.6534925e-05,45,108,3,2
377,68268,0.9999585,46,95,2,4
378,68268,0.00010620198,47,84,2,2
379,68268,8.414523e-05,47,180,2,4
380,68268,9.717868e-05,50,34,0,4
381,68268,9.743831e-05,50,68,0,3
382,68268,9.658336e-05,50,150,0,3
383,68268,0.00010317815,51,116,3,3
384,68268,0.9999511,53,71,3,3
385,68268,9.763679e-05,54,125,3,2
386,68268,0.00010484937,55,116,3,3
387,68268,0.99993646,56,3,0,3
388,68268,7.930235e-05,56,5,0,3
389,68268,0.99994826,56,6,0,0
390,68268,0.99995494,56,9,0,0
391,68268,0.9999324,56,11,0,3
392,68268,0.9999378,56,12,0,3
393,68268,8.833762e-05,56,16,0,3
394,68268,0.9999436,56,17,0,3
395,68268,0.9999422,56,19,0,3
396,68268,0.99994934,56,21,0,3
397,68268,0.9999467,56,22,0,3
398,68268,0.9999424,56,23,0,3
399,68268,0.9999449,56,24,0,3
400,68268,0.9999385,56,26,0,3
401,68268,0.9999441,56,27,0,3
402,68268,0.9999511,56,29,0,2
403,68268,0.99992454,56,30,0,3
404,68268,0.999948,56,31,0,3
405,68268,0.99994254,56,32,0,4
406,68268,0.99994266,56,33,0,3
407,68268,6.423783e-05,56,34,0,4
408,68268,0.99993587,56,35,0,4
409,68268,0.99994385,56,37,0,3
410,68268,0.9999372,56,38,0,3
411,68268,0.9999441,56,39,0,3
412,68268,0.9999074,56,41,0,4
413,68268,0.9999405,56,43,0,3
414,68268,0.9999399,56,44,0,3
415,68268,0.99993336,56,46,0,2
416,68268,0.99993265,56,47,0,2
417,68268,0.99994886,56,49,0,3
418,68268,0.99993896,56,52,0,3
419,68268,0.9999243,56,53,0,3
420,68268,0.99994206,56,54,0,3
421,68268,0.9999484,56,55,0,3
422,68268,0.99986756,56,57,0,2
423,68268,0.9999387,56,59,0,4
424,68268,0.9999374,56,61,0,4
425,68268,0.9999454,56,62,0,3
426,68268,0.99993634,56,63,0,3
427,68268,0.99994826,56,64,0,3
428,68268,0.9999461,56,65,0,3
429,68268,0.99994564,56,68,0,3
430,68268,0.99994135,56,69,0,3
431,68268,0.99991024,56,74,0,4
432,68268,0.9999298,56,75,0,3
433,68268,0.99993837,56,77,0,3
434,68268,0.99994695,56,79,0,3
435,68268,0.9999478,56,80,0,4
436,68268,0.9999317,56,81,0,3
437,68268,0.99994314,56,82,0,2
438,68268,8.432517e-05,56,84,0,2
439,68268,0.99994385,56,85,0,4
440,68268,0.99993324,56,87,0,3
441,68268,0.9999393,56,89,0,3
442,68268,0.99994206,56,90,0,3
443,68268,0.9999398,56,91,0,3
444,68268,0.99994874,56,93,0,3
445,68268,0.9999424,56,94,0,3
446,68268,0.9999461,56,97,0,3
447,68268,0.99994314,56,98,0,3
448,68268,0.99994206,56,103,0,3
449,68268,0.9999492,56,104,0,3
450,68268,0.9999392,56,109,0,3
451,68268,0.999951,56,110,0,3
452,68268,0.99994016,56,112,0,3
453,68268,7.11176e-05,56,116,0,3
454,68268,0.9999336,56,117,0,4
455,68268,0.9999521,56,118,0,3
456,68268,0.99993944,56,119,0,3
457,68268,0.99994016,56,124,0,3
458,68268,0.99993944,56,125,0,2
459,68268,0.99991465,56,127,0,2
460,68268,0.9999399,56,128,0,3
461,68268,0.9999466,56,129,0,3
462,68268,0.9999292,56,131,0,4
463,68268,0.9999491,56,132,0,3
464,68268,0.999944,56,134,0,3
465,68268,0.9999416,56,135,0,4
466,68268,0.9999391,56,136,0,3
467,68268,0.99993515,56,137,0,3
468,68268,0.9999242,56,139,0,3
469,68268,0.9999416,56,142,0,3
470,68268,0.9999331,56,143,0,3
471,68268,0.9999479,56,144,0,3
472,68268,7.531411e-05,56,146,0,3
473,68268,0.99994874,56,147,0,2
474,68268,0.9999417,56,149,0,4
475,68268,0.99994755,56,150,0,3
476,68268,0.99994683,56,153,0,3
477,68268,0.9999398,56,154,0,3
478,68268,0.9999379,56,155,0,3
479,68268,0.9999554,56,159,0,2
480,68268,0.99993205,56,161,0,3
481,68268,0.99994576,56,165,0,3
482,68268,0.999936,56,166,0,3
483,68268,5.2648058e-05,56,167,0,2
484,68268,0.9999356,56,169,0,3
485,68268,0.99994755,56,170,0,3
486,68268,0.99991703,56,171,0,4
487,68268,0.9999229,56,172,0,3
488,68268,0.9999459,56,178,0,3
489,68268,0.999944,56,179,0,3
490,68268,0.99994206,56,181,0,3
491,68268,8.795668e-05,57,15,2,4
492,68268,8.564465e-05,57,22,2,3
493,68268,8.574974e-05,57,65,2,3
494,68268,0.99994767,57,67,2,3
495,68268,9.1057314e-05,57,110,2,3
496,68268,8.335825e-05,57,165,2,3
497,68268,8.6901615e-05,57,170,2,3
498,68268,9.063552e-05,58,13,2,3
499,68268,8.9673355e-05,58,88,2,0
500,68268,9.499857e-05,58,102,2,4
501,68268,0.00010173057,58,119,2,3
502,68268,9.2260954e-05,58,163,2,3
503,68268,0.00010538202,59,16,4,3
504,68268,0.00010210688,59,159,4,2
505,68268,0.00010618385,60,16,4,3
506,68268,0.00010148689,60,21,4,3
507,68268,0.0001024368,61,84,4,2
508,68268,8.8234745e-05,63,58,3,2
509,68268,0.00010039451,64,82,3,2
510,68268,9.715654e-05,66,86,0,3
511,68268,0.0,67,67,3,3
512,68268,0.000100413556,70,147,4,2
513,68268,0.00010087047,72,108,3,2
514,68268,0.00010239149,73,66,4,0
515,68268,0.0,73,73,4,4
516,68268,0.9999589,73,158,4,0
517,68268,9.552507e-05,74,22,4,3
518,68268,7.537993e-05,74,48,4,0
519,68268,0.00010264489,75,116,3,3
520,68268,0.00010128812,78,34,0,4
521,68268,0.00010411272,78,146,0,3
522,68268,0.000100188125,79,82,3,2
523,68268,0.00010509412,80,66,4,0
524,68268,9.3759845e-05,81,58,3,2
525,68268,0.000102285805,82,64,2,3
526,68268,0.00010221492,82,79,2,3
527,68268,8.973109e-05,82,133,2,4
528,68268,0.00010250463,82,144,2,3
529,68268,9.925263e-05,83,37,4,3
530,68268,9.8574834e-05,83,39,4,3
531,68268,9.215799e-05,83,140,4,2
532,68268,0.00010475253,84,23,2,3
533,68268,0.00010512318,84,31,2,3
534,68268,0.00010579625,84,34,2,4
535,68268,0.000104588646,84,47,2,2
536,68268,0.000104894476,84,62,2,3
537,68268,0.00010445598,84,127,2,2
538,68268,0.00010529634,84,147,2,2
539,68268,0.00010397134,84,153,2,3
540,68268,0.000105557825,85,16,4,3
541,68268,0.0,86,86,3,3
542,68268,0.000103126506,87,116,3,3
543,68268,9.177134e-05,88,102,0,4
544,68268,0.99995875,89,151,3,4
545,68268,0.0,90,90,3,3
546,68268,9.375117e-05,90,140,3,2
547,68268,8.345696e-05,92,15,0,4
548,68268,9.606833e-05,95,46,4,2
549,68268,0.000101985155,95,66,4,0
550,68268,8.5618194e-05,95,76,4,0
551,68268,0.0,95,95,4,4
552,68268,7.7188786e-05,95,157,4,2
553,68268,8.804319e-05,99,79,4,3
554,68268,8.4483e-05,99,94,4,3
555,68268,9.030114e-05,99,132,4,3
556,68268,0.000102972226,100,131,0,4
557,68268,0.000101917685,101,5,0,3
558,68268,0.000102141355,102,58,4,2
559,68268,0.00010543037,102,66,4,0
560,68268,0.0,102,102,4,4
561,68268,8.8015826e-05,105,144,0,3
562,68268,9.0116795e-05,106,9,4,0
563,68268,6.155185e-05,107,108,3,2
564,68268,0.000102969185,108,11,2,3
565,68268,9.2861774e-05,108,45,2,3
566,68268,9.396427e-05,108,72,2,3
567,68268,9.45293e-05,111,85,0,4
568,68268,9.223131e-05,114,49,0,3
569,68268,9.941991e-05,116,76,3,0
570,68268,0.000103337756,117,146,4,3
571,68268,9.723226e-05,119,58,3,2
572,68268,6.856042e-05,120,140,3,2
573,68268,0.9999547,120,156,3,0
574,68268,9.062117e-05,122,167,3,2
575,68268,0.000103668,123,16,0,3
576,68268,9.983241e-05,125,54,2,3
577,68268,0.00010365021,126,16,4,3
578,68268,8.6213644e-05,126,18,4,0
579,68268,9.9162186e-05,126,29,4,2
580,68268,0.00010031422,127,23,2,3
581,68268,0.000100437115,127,31,2,3
582,68268,0.000101149606,127,55,2,3
583,68268,9.9827645e-05,127,62,2,3
584,68268,0.00010476492,127,84,2,2
585,68268,0.00010043156,127,129,2,3
586,68268,0.000100220524,127,153,2,3
587,68268,0.000100036144,127,171,2,4
588,68268,9.0587484e-05,130,24,0,3
589,68268,0.00010408303,131,66,4,0
590,68268,0.00010423271,131,84,4,2
591,68268,8.158714e-05,131,100,4,0
592,68268,8.130133e-05,131,138,4,0
593,68268,8.925396e-05,131,168,4,0
594,68268,0.000102479804,133,16,4,3
595,68268,9.851431e-05,133,64,4,3
596,68268,9.620034e-05,133,82,4,2
597,68268,9.878702e-05,133,178,4,3
598,68268,0.0,134,134,3,3
599,68268,6.691404e-05,139,18,3,0
600,68268,0.00010250159,140,39,2,3
601,68268,9.6535754e-05,140,83,2,4
602,68268,0.00010341188,140,90,2,3
603,68268,6.8922534e-05,141,48,3,0
604,68268,9.54891e-05,141,116,3,3
605,68268,9.9038676e-05,144,82,3,2
606,68268,8.726293e-05,145,168,3,0
607,68268,9.69753e-05,148,146,3,3
608,68268,0.0,148,148,3,3
609,68268,9.376726e-05,148,159,3,2
610,68268,0.00010026507,151,66,4,0
611,68268,9.342321e-05,151,89,4,3
612,68268,6.991563e-05,151,152,4,3
613,68268,0.0,156,156,0,0
614,68268,8.3909734e-05,158,73,0,4
615,68268,0.000102356935,159,44,2,3
616,68268,0.0001024754,159,59,2,4
617,68268,0.00010240966,159,150,2,3
618,68268,0.00010401913,160,116,3,3
619,68268,9.881388e-05,161,116,3,3
620,68268,0.00010265242,162,29,4,2
621,68268,0.00010425,162,66,4,0
622,68268,9.394196e-05,163,58,3,2
623,68268,0.0,163,163,3,3
624,68268,0.000105528445,164,146,0,3
625,68268,0.00010415839,168,131,0,4
626,68268,9.848538e-05,171,6,4,0
627,68268,0.000101070356,171,66,4,0
628,68268,0.000102698636,171,84,4,2
629,68268,9.010408e-05,171,113,4,0
630,68268,9.6527096e-05,171,129,4,3
631,68268,5.6341523e-05,172,113,3,0
632,68268,7.7875266e-05,173,8,2,3
633,68268,9.6253374e-05,173,55,2,3
634,68268,0.00010263793,173,84,2,2
635,68268,6.261572e-05,173,96,2,3
636,68268,8.9161746e-05,173,131,2,4
637,68268,0.9999521,173,145,2,3
638,68268,0.9999573,173,175,2,3
639,68268,8.75565e-05,174,15,0,4
640,68268,0.0,175,175,3,3
641,68268,9.93387e-05,176,80,0,4
642,68268,9.579142e-05,177,84,4,2
643,68268,8.0200734e-05,177,156,4,0
644,68268,9.428678e-05,177,167,4,2
645,68268,0.00010075473,180,47,4,2
646,68268,0.00010521866,180,66,4,0
647,68268,0.00010529625,180,84,4,2
648,68268,0.0,180,180,4,4
649,68268,8.9484995e-05,182,29,3,2
650,4873,7.545321e-05,0,58,3,2
651,4873,0.9999502,0,121,3,0
652,4873,7.8793084e-05,1,80,0,4
653,4873,6.948267e-05,2,8,2,3
654,4873,9.8039556e-05,4,66,4,0
655,4873,9.9131365e-05,4,146,4,3
656,4873,0.99994767,4,164,4,0
657,4873,5.1675564e-05,7,14,0,3
658,4873,9.553536e-05,7,34,0,4
659,4873,7.942723e-05,10,108,3,2
660,4873,0.00010392059,11,94,3,3
661,4873,9.8455246e-05,11,108,3,2
662,4873,0.0,13,13,3,3
663,4873,9.74635e-05,13,58,3,2
664,4873,0.0,15,15,4,4
665,4873,0.00010461468,15,16,4,3
666,4873,0.000101666476,15,22,4,3
667,4873,0.00010115599,15,65,4,3
668,4873,9.966053e-05,15,165,4,3
669,4873,0.00010009101,17,29,3,2
670,4873,9.51447e-05,18,126,0,4
671,4873,6.77021e-05,20,5,0,3
672,4873,0.99994683,20,15,0,4
673,4873,8.3112594e-05,20,16,0,3
674,4873,0.99993396,20,115,0,3
675,4873,9.9849065e-05,23,127,3,2
676,4873,0.00010032024,23,147,3,2
677,4873,9.597063e-05,25,84,1,2
678,4873,9.077304e-05,25,167,1,2
679,4873,9.9533834e-05,28,80,0,4
680,4873,0.00010244365,28,146,0,3
681,4873,0.000100666286,29,17,2,3
682,4873,0.00010151603,29,97,2,3
683,4873,8.7373344e-05,29,162,2,4
684,4873,9.940161e-05,30,146,3,3
685,4873,9.540836e-05,30,159,3,2
686,4873,0.0,34,34,4,4
687,4873,0.000104944,34,66,4,0
688,4873,0.000106037645,34,84,4,2
689,4873,9.52779e-05,36,21,2,3
690,4873,0.999948,36,60,2,4
691,4873,9.856872e-05,39,140,3,2
692,4873,7.968373e-05,40,24,0,3
693,4873,9.596276e-05,41,66,4,0
694,4873,9.986783e-05,41,84,4,2
695,4873,9.196925e-05,41,104,4,3
696,4873,9.1555354e-05,41,118,4,3
697,4873,9.075773e-05,42,34,0,4
698,4873,9.3703355e-05,42,93,0,3
699,4873,0.00010189892,44,159,3,2
700,4873,0.0,45,45,3,3
701,4873,9.939186e-05,45,108,3,2
702,4873,0.9999584,46,95,2,4
703,4873,0.000106352774,47,84,2,2
704,4873,8.485634e-05,47,180,2,4
705,4873,9.741035e-05,50,34,0,4
706,4873,9.726063e-05,50,68,0,3
707,4873,9.648569e-05,50,150,0,3
708,4873,0.000102607504,51,116,3,3
709,4873,0.9999515,53,71,3,3
710,4873,0.000100491634,54,125,3,2
711,4873,0.00010525328,55,116,3,3
