Dataset,GT,Probability,P1,P2,Run
25,0,0,42,39,2
25,0,0,46,18,2
25,0,0,46,32,2
25,0,0,46,50,2
25,0,0,46,98,2
25,0,0,50,18,2
25,0,0,50,31,2
25,0,0,50,46,2
25,0,0,51,9,2
25,0,0,53,18,2
25,0,0,54,9,2
25,0,0,54,17,2
25,0,0,60,18,2
25,0,0,60,25,2
25,0,0,60,98,2
25,0,0,61,9,2
25,0,0,62,9,2
25,0,0,69,9,2
25,0,0,71,9,2
25,0,0,74,18,2
25,0,0,74,24,2
25,0,0,74,26,2
25,0,0,74,31,2
25,0,0,74,33,2
25,0,0,74,98,2
25,0,0,76,18,2
25,0,0,76,26,2
25,0,0,97,9,2
25,0,0,98,18,2
25,0,0,98,24,2
25,0,0,98,26,2
25,0,0,98,31,2
25,0,0,98,32,2
25,0,0,98,33,2
25,0,0,98,46,2
25,0,0,98,60,2
25,0,0,98,74,2
25,0,0,7,18,3
25,1,0,9,12,3
25,1,0.5274426,9,14,3
25,1,0,9,17,3
25,0,0,9,18,3
25,1,0.54185647,9,23,3
25,0,0,9,32,3
25,1,0,9,40,3
25,1,0,9,51,3
25,1,0,9,54,3
25,1,0,9,61,3
25,1,0,9,62,3
25,1,0,9,69,3
25,1,0,9,71,3
25,1,0,9,97,3
25,0,0,12,9,3
25,0,0,14,9,3
25,0,0,17,9,3
25,0,0,17,54,3
25,1,0,18,7,3
25,0,0,18,9,3
25,1,0,18,19,3
25,1,0,18,20,3
25,1,0,18,22,3
25,1,0,18,24,3
25,1,0,18,25,3
25,1,0,18,26,3
25,1,0,18,30,3
25,1,0,18,31,3
25,1,0,18,32,3
25,1,0,18,33,3
25,1,0,18,39,3
25,1,0,18,42,3
25,1,0,18,46,3
25,1,0,18,50,3
25,1,0,18,53,3
25,1,0,18,60,3
25,1,0,18,74,3
25,1,0,18,76,3
25,1,0,18,98,3
25,0,0,19,18,3
25,0,0,20,18,3
25,0,0,22,18,3
25,0,0,22,32,3
25,0,0,22,33,3
25,0,0,23,9,3
25,0,0,24,18,3
25,0,0,24,25,3
25,0,0,24,26,3
25,0,0,24,30,3
25,0,0,24,31,3
25,0,0,24,32,3
25,0,0,24,33,3
25,0,0,24,74,3
25,0,0,24,98,3
25,0,0,25,18,3
25,0,0,25,24,3
25,0,0,25,26,3
25,0,0,25,32,3
25,0,0,25,42,3
25,0,0,25,60,3
25,0,0,26,18,3
25,0,0,26,24,3
25,0,0,26,25,3
25,0,0,26,31,3
25,0,0,26,32,3
25,0,0,26,33,3
25,0,0,26,39,3
25,0,0,26,42,3
25,0,0,26,74,3
25,0,0,26,76,3
25,0,0,26,98,3
25,0,0,30,18,3
25,0,0,30,24,3
25,0,0,30,33,3
25,0,0,31,18,3
25,0,0,31,24,3
25,0,0,31,26,3
25,0,0,31,32,3
25,0,0,31,33,3
25,0,0,31,42,3
25,0,0,31,50,3
25,0,0,31,74,3
25,0,0,31,98,3
25,0,0,32,9,3
25,0,0,32,18,3
25,0,0,32,22,3
25,0,0,32,24,3
25,0,0,32,25,3
25,0,0,32,26,3
25,0,0,32,31,3
25,0,0,32,33,3
25,0,0,32,46,3
25,0,0,32,98,3
25,0,0,33,18,3
25,0,0,33,22,3
25,0,0,33,24,3
25,0,0,33,26,3
25,0,0,33,30,3
25,0,0,33,31,3
25,0,0,33,32,3
25,0,0,33,42,3
25,0,0,33,74,3
25,0,0,33,98,3
25,0,0,39,18,3
25,0,0,39,26,3
25,0,0,39,42,3
25,0,0,40,9,3
25,0,0,42,18,3
25,0,0,42,25,3
25,0,0,42,26,3
25,0,0,42,31,3
25,0,0,42,33,3
25,0,0,42,39,3
25,0,0,46,18,3
25,0,0,46,32,3
25,0,0,46,50,3
25,0,0,46,98,3
25,0,0,50,18,3
25,0,0,50,31,3
25,0,0,50,46,3
25,0,0,51,9,3
25,0,0,53,18,3
25,0,0,54,9,3
25,0,0,54,17,3
25,0,0,60,18,3
25,0,0,60,25,3
25,0,0,60,98,3
25,0,0,61,9,3
25,0,0,62,9,3
25,0,0,69,9,3
25,0,0,71,9,3
25,0,0,74,18,3
25,0,0,74,24,3
25,0,0,74,26,3
25,0,0,74,31,3
25,0,0,74,33,3
25,0,0,74,98,3
25,0,0,76,18,3
25,0,0,76,26,3
25,0,0,97,9,3
25,0,0,98,18,3
25,0,0,98,24,3
25,0,0,98,26,3
25,0,0,98,31,3
25,0,0,98,32,3
25,0,0,98,33,3
25,0,0,98,46,3
25,0,0,98,60,3
25,0,0,98,74,3
25,0,0,7,18,4
25,1,0.5188571,9,12,4
25,1,0,9,14,4
25,1,0,9,17,4
25,0,0,9,18,4
25,1,0.46229067,9,23,4
25,0,0,9,32,4
25,1,0,9,40,4
25,1,0,9,51,4
25,1,0,9,54,4
25,1,0,9,61,4
25,1,0,9,62,4
25,1,0,9,69,4
25,1,0,9,71,4
25,1,0,9,97,4
25,0,0,12,9,4
25,0,0,14,9,4
25,0,0,17,9,4
25,0,0,17,54,4
25,1,0,18,7,4
25,0,0,18,9,4
25,1,0,18,19,4
25,1,0,18,20,4
25,1,0,18,22,4
25,1,0,18,24,4
25,1,0,18,25,4
25,1,0,18,26,4
25,1,0,18,30,4
25,1,0,18,31,4
25,1,0,18,32,4
25,1,0,18,33,4
25,1,0,18,39,4
25,1,0,18,42,4
25,1,0,18,46,4
25,1,0,18,50,4
25,1,0,18,53,4
25,1,0,18,60,4
25,1,0,18,74,4
25,1,0,18,76,4
25,1,0,18,98,4
25,0,0,19,18,4
25,0,0,20,18,4
25,0,0,22,18,4
25,0,0,22,32,4
25,0,0,22,33,4
25,0,0,23,9,4
25,0,0,24,18,4
25,0,0,24,25,4
25,0,0,24,26,4
25,0,0,24,30,4
25,0,0,24,31,4
25,0,0,24,32,4
25,0,0,24,33,4
25,0,0,24,74,4
25,0,0,24,98,4
25,0,0,25,18,4
25,0,0,25,24,4
25,0,0,25,26,4
25,0,0,25,32,4
25,0,0,25,42,4
25,0,0,25,60,4
25,0,0,26,18,4
25,0,0,26,24,4
25,0,0,26,25,4
25,0,0,26,31,4
25,0,0,26,32,4
25,0,0,26,33,4
25,0,0,26,39,4
25,0,0,26,42,4
25,0,0,26,74,4
25,0,0,26,76,4
25,0,0,26,98,4
25,0,0,30,18,4
25,0,0,30,24,4
25,0,0,30,33,4
25,0,0,31,18,4
25,0,0,31,24,4
25,0,0,31,26,4
25,0,0,31,32,4
25,0,0,31,33,4
25,0,0,31,42,4
25,0,0,31,50,4
25,0,0,31,74,4
25,0,0,31,98,4
25,0,0,32,9,4
25,0,0,32,18,4
25,0,0,32,22,4
25,0,0,32,24,4
25,0,0,32,25,4
25,0,0,32,26,4
25,0,0,32,31,4
25,0,0,32,33,4
25,0,0,32,46,4
25,0,0,32,98,4
25,0,0,33,18,4
25,0,0,33,22,4
25,0,0,33,24,4
25,0,0,33,26,4
25,0,0,33,30,4
25,0,0,33,31,4
25,0,0,33,32,4
25,0,0,33,42,4
25,0,0,33,74,4
25,0,0,33,98,4
25,0,0,39,18,4
25,0,0,39,26,4
25,0,0,39,42,4
25,0,0,40,9,4
25,0,0,42,18,4
25,0,0,42,25,4
25,0,0,42,26,4
25,0,0,42,31,4
25,0,0,42,33,4
25,0,0,42,39,4
25,0,0,46,18,4
25,0,0,46,32,4
25,0,0,46,50,4
25,0,0,46,98,4
25,0,0,50,18,4
25,0,0,50,31,4
25,0,0,50,46,4
25,0,0,51,9,4
25,0,0,53,18,4
25,0,0,54,9,4
25,0,0,54,17,4
25,0,0,60,18,4
25,0,0,60,25,4
25,0,0,60,98,4
25,0,0,61,9,4
25,0,0,62,9,4
25,0,0,69,9,4
25,0,0,71,9,4
25,0,0,74,18,4
25,0,0,74,24,4
25,0,0,74,26,4
25,0,0,74,31,4
25,0,0,74,33,4
25,0,0,74,98,4
25,0,0,76,18,4
25,0,0,76,26,4
25,0,0,97,9,4
25,0,0,98,18,4
25,0,0,98,24,4
25,0,0,98,26,4
25,0,0,98,31,4
25,0,0,98,32,4
25,0,0,98,33,4
25,0,0,98,46,4
25,0,0,98,60,4
25,0,0,98,74,4
25,0,0,7,18,5
25,1,0.54170924,9,12,5
25,1,0,9,14,5
25,1,0,9,17,5
25,0,0,9,18,5
25,1,0.47824705,9,23,5
25,0,0,9,32,5
25,1,0,9,40,5
25,1,0,9,51,5
25,1,0,9,54,5
25,1,0,9,61,5
25,1,0,9,62,5
25,1,0,9,69,5
25,1,0,9,71,5
25,1,0,9,97,5
25,0,0,12,9,5
25,0,0,14,9,5
25,0,0,17,9,5
25,0,0,17,54,5
25,1,0,18,7,5
25,0,0,18,9,5
25,1,0,18,19,5
25,1,0,18,20,5
25,1,0,18,22,5
25,1,0,18,24,5
25,1,0,18,25,5
25,1,0,18,26,5
25,1,0,18,30,5
25,1,0,18,31,5
25,1,0,18,32,5
25,1,0,18,33,5
25,1,0,18,39,5
25,1,0,18,42,5
25,1,0,18,46,5
25,1,0,18,50,5
25,1,0,18,53,5
25,1,0,18,60,5
25,1,0,18,74,5
25,1,0,18,76,5
25,1,0,18,98,5
25,0,0,19,18,5
25,0,0,20,18,5
25,0,0,22,18,5
25,0,0,22,32,5
25,0,0,22,33,5
25,0,0,23,9,5
25,0,0,24,18,5
25,0,0,24,25,5
25,0,0,24,26,5
25,0,0,24,30,5
25,0,0,24,31,5
25,0,0,24,32,5
25,0,0,24,33,5
25,0,0,24,74,5
25,0,0,24,98,5
25,0,0,25,18,5
25,0,0,25,24,5
25,0,0,25,26,5
25,0,0,25,32,5
25,0,0,25,42,5
25,0,0,25,60,5
25,0,0,26,18,5
25,0,0,26,24,5
25,0,0,26,25,5
25,0,0,26,31,5
25,0,0,26,32,5
25,0,0,26,33,5
25,0,0,26,39,5
25,0,0,26,42,5
25,0,0,26,74,5
25,0,0,26,76,5
25,0,0,26,98,5
25,0,0,30,18,5
25,0,0,30,24,5
25,0,0,30,33,5
25,0,0,31,18,5
25,0,0,31,24,5
25,0,0,31,26,5
25,0,0,31,32,5
25,0,0,31,33,5
25,0,0,31,42,5
25,0,0,31,50,5
25,0,0,31,74,5
25,0,0,31,98,5
25,0,0,32,9,5
25,0,0,32,18,5
25,0,0,32,22,5
25,0,0,32,24,5
25,0,0,32,25,5
25,0,0,32,26,5
25,0,0,32,31,5
25,0,0,32,33,5
25,0,0,32,46,5
25,0,0,32,98,5
25,0,0,33,18,5
25,0,0,33,22,5
25,0,0,33,24,5
25,0,0,33,26,5
25,0,0,33,30,5
25,0,0,33,31,5
25,0,0,33,32,5
25,0,0,33,42,5
25,0,0,33,74,5
25,0,0,33,98,5
25,0,0,39,18,5
25,0,0,39,26,5
25,0,0,39,42,5
25,0,0,40,9,5
25,0,0,42,18,5
25,0,0,42,25,5
25,0,0,42,26,5
25,0,0,42,31,5
25,0,0,42,33,5
25,0,0,42,39,5
25,0,0,46,18,5
25,0,0,46,32,5
25,0,0,46,50,5
25,0,0,46,98,5
25,0,0,50,18,5
25,0,0,50,31,5
25,0,0,50,46,5
25,0,0,51,9,5
25,0,0,53,18,5
25,0,0,54,9,5
25,0,0,54,17,5
25,0,0,60,18,5
25,0,0,60,25,5
25,0,0,60,98,5
25,0,0,61,9,5
25,0,0,62,9,5
25,0,0,69,9,5
25,0,0,71,9,5
25,0,0,74,18,5
25,0,0,74,24,5
25,0,0,74,26,5
25,0,0,74,31,5
25,0,0,74,33,5
25,0,0,74,98,5
25,0,0,76,18,5
25,0,0,76,26,5
25,0,0,97,9,5
25,0,0,98,18,5
25,0,0,98,24,5
25,0,0,98,26,5
25,0,0,98,31,5
25,0,0,98,32,5
25,0,0,98,33,5
25,0,0,98,46,5
25,0,0,98,60,5
25,0,0,98,74,5
25,0,0,7,18,6
25,1,0.51190305,9,12,6
25,1,0,9,14,6
25,1,0,9,17,6
25,0,0,9,18,6
25,1,0,9,23,6
25,0,0,9,32,6
25,1,0,9,40,6
25,1,0,9,51,6
25,1,0,9,54,6
25,1,0.54766464,9,61,6
25,1,0,9,62,6
25,1,0,9,69,6
25,1,0,9,71,6
25,1,0,9,97,6
25,0,0,12,9,6
25,0,0,14,9,6
25,0,0,17,9,6
25,0,0,17,54,6
25,1,0,18,7,6
25,0,0,18,9,6
25,1,0,18,19,6
25,1,0,18,20,6
25,1,0,18,22,6
25,1,0,18,24,6
25,1,0,18,25,6
25,1,0,18,26,6
25,1,0,18,30,6
25,1,0,18,31,6
25,1,0,18,32,6
25,1,0,18,33,6
25,1,0,18,39,6
25,1,0,18,42,6
25,1,0,18,46,6
25,1,0,18,50,6
25,1,0,18,53,6
25,1,0,18,60,6
25,1,0,18,74,6
25,1,0,18,76,6
25,1,0,18,98,6
25,0,0,19,18,6
25,0,0,20,18,6
25,0,0,22,18,6
25,0,0,22,32,6
25,0,0,22,33,6
25,0,0,23,9,6
25,0,0,24,18,6
25,0,0,24,25,6
25,0,0,24,26,6
25,0,0,24,30,6
25,0,0,24,31,6
25,0,0,24,32,6
25,0,0,24,33,6
25,0,0,24,74,6
25,0,0,24,98,6
25,0,0,25,18,6
25,0,0,25,24,6
25,0,0,25,26,6
25,0,0,25,32,6
25,0,0,25,42,6
25,0,0,25,60,6
25,0,0,26,18,6
25,0,0,26,24,6
25,0,0,26,25,6
25,0,0,26,31,6
25,0,0,26,32,6
25,0,0,26,33,6
25,0,0,26,39,6
25,0,0,26,42,6
25,0,0,26,74,6
25,0,0,26,76,6
25,0,0,26,98,6
25,0,0,30,18,6
25,0,0,30,24,6
25,0,0,30,33,6
25,0,0,31,18,6
25,0,0,31,24,6
25,0,0,31,26,6
25,0,0,31,32,6
25,0,0,31,33,6
25,0,0,31,42,6
25,0,0,31,50,6
25,0,0,31,74,6
25,0,0,31,98,6
25,0,0,32,9,6
25,0,0,32,18,6
25,0,0,32,22,6
25,0,0,32,24,6
25,0,0,32,25,6
25,0,0,32,26,6
25,0,0,32,31,6
25,0,0,32,33,6
25,0,0,32,46,6
25,0,0,32,98,6
25,0,0,33,18,6
25,0,0,33,22,6
25,0,0,33,24,6
25,0,0,33,26,6
25,0,0,33,30,6
25,0,0,33,31,6
25,0,0,33,32,6
25,0,0,33,42,6
25,0,0,33,74,6
25,0,0,33,98,6
25,0,0,39,18,6
25,0,0,39,26,6
25,0,0,39,42,6
25,0,0,40,9,6
25,0,0,42,18,6
25,0,0,42,25,6
25,0,0,42,26,6
25,0,0,42,31,6
25,0,0,42,33,6
25,0,0,42,39,6
25,0,0,46,18,6
25,0,0,46,32,6
25,0,0,46,50,6
25,0,0,46,98,6
25,0,0,50,18,6
25,0,0,50,31,6
25,0,0,50,46,6
25,0,0,51,9,6
25,0,0,53,18,6
25,0,0,54,9,6
25,0,0,54,17,6
25,0,0,60,18,6
25,0,0,60,25,6
25,0,0,60,98,6
25,0,0,61,9,6
25,0,0,62,9,6
25,0,0,69,9,6
25,0,0,71,9,6
25,0,0,74,18,6
25,0,0,74,24,6
25,0,0,74,26,6
25,0,0,74,31,6
25,0,0,74,33,6
25,0,0,74,98,6
25,0,0,76,18,6
25,0,0,76,26,6
25,0,0,97,9,6
25,0,0,98,18,6
25,0,0,98,24,6
25,0,0,98,26,6
25,0,0,98,31,6
25,0,0,98,32,6
25,0,0,98,33,6
25,0,0,98,46,6
25,0,0,98,60,6
25,0,0,98,74,6
25,0,0,7,18,7
25,1,0,9,12,7
25,1,0.590184,9,14,7
25,1,0,9,17,7
25,0,0,9,18,7
25,1,0.5277155,9,23,7
25,0,0,9,32,7
25,1,0,9,40,7
25,1,0,9,51,7
25,1,0,9,54,7
25,1,0,9,61,7
25,1,0,9,62,7
25,1,0,9,69,7
25,1,0,9,71,7
25,1,0,9,97,7
25,0,0,12,9,7
25,0,0,14,9,7
25,0,0,17,9,7
25,0,0,17,54,7
25,1,0,18,7,7
25,0,0,18,9,7
25,1,0,18,19,7
25,1,0,18,20,7
25,1,0,18,22,7
25,1,0,18,24,7
25,1,0,18,25,7
25,1,0,18,26,7
25,1,0,18,30,7
25,1,0,18,31,7
25,1,0,18,32,7
25,1,0,18,33,7
25,1,0,18,39,7
25,1,0,18,42,7
25,1,0,18,46,7
25,1,0,18,50,7
25,1,0,18,53,7
25,1,0,18,60,7
25,1,0,18,74,7
25,1,0,18,76,7
25,1,0,18,98,7
25,0,0,19,18,7
25,0,0,20,18,7
25,0,0,22,18,7
25,0,0,22,32,7
25,0,0,22,33,7
25,0,0,23,9,7
25,0,0,24,18,7
25,0,0,24,25,7
25,0,0,24,26,7
25,0,0,24,30,7
25,0,0,24,31,7
25,0,0,24,32,7
25,0,0,24,33,7
25,0,0,24,74,7
25,0,0,24,98,7
25,0,0,25,18,7
25,0,0,25,24,7
25,0,0,25,26,7
25,0,0,25,32,7
25,0,0,25,42,7
25,0,0,25,60,7
25,0,0,26,18,7
25,0,0,26,24,7
25,0,0,26,25,7
25,0,0,26,31,7
25,0,0,26,32,7
25,0,0,26,33,7
25,0,0,26,39,7
25,0,0,26,42,7
25,0,0,26,74,7
25,0,0,26,76,7
25,0,0,26,98,7
25,0,0,30,18,7
25,0,0,30,24,7
25,0,0,30,33,7
25,0,0,31,18,7
25,0,0,31,24,7
25,0,0,31,26,7
25,0,0,31,32,7
25,0,0,31,33,7
25,0,0,31,42,7
25,0,0,31,50,7
25,0,0,31,74,7
25,0,0,31,98,7
25,0,0,32,9,7
25,0,0,32,18,7
25,0,0,32,22,7
25,0,0,32,24,7
25,0,0,32,25,7
25,0,0,32,26,7
25,0,0,32,31,7
25,0,0,32,33,7
25,0,0,32,46,7
25,0,0,32,98,7
25,0,0,33,18,7
25,0,0,33,22,7
25,0,0,33,24,7
25,0,0,33,26,7
25,0,0,33,30,7
25,0,0,33,31,7
25,0,0,33,32,7
25,0,0,33,42,7
25,0,0,33,74,7
25,0,0,33,98,7
25,0,0,39,18,7
25,0,0,39,26,7
25,0,0,39,42,7
25,0,0,40,9,7
25,0,0,42,18,7
25,0,0,42,25,7
25,0,0,42,26,7
25,0,0,42,31,7
25,0,0,42,33,7
25,0,0,42,39,7
25,0,0,46,18,7
25,0,0,46,32,7
25,0,0,46,50,7
25,0,0,46,98,7
25,0,0,50,18,7
25,0,0,50,31,7
25,0,0,50,46,7
25,0,0,51,9,7
25,0,0,53,18,7
25,0,0,54,9,7
25,0,0,54,17,7
25,0,0,60,18,7
25,0,0,60,25,7
25,0,0,60,98,7
25,0,0,61,9,7
25,0,0,62,9,7
25,0,0,69,9,7
25,0,0,71,9,7
25,0,0,74,18,7
25,0,0,74,24,7
25,0,0,74,26,7
25,0,0,74,31,7
25,0,0,74,33,7
25,0,0,74,98,7
25,0,0,76,18,7
25,0,0,76,26,7
25,0,0,97,9,7
25,0,0,98,18,7
25,0,0,98,24,7
25,0,0,98,26,7
25,0,0,98,31,7
25,0,0,98,32,7
25,0,0,98,33,7
25,0,0,98,46,7
25,0,0,98,60,7
25,0,0,98,74,7
25,0,0,7,18,8
25,1,0.528193,9,12,8
25,1,0,9,14,8
25,1,0,9,17,8
25,0,0,9,18,8
25,1,0,9,23,8
25,0,0,9,32,8
25,1,0,9,40,8
25,1,0,9,51,8
25,1,0,9,54,8
25,1,0.57679236,9,61,8
25,1,0,9,62,8
25,1,0,9,69,8
25,1,0,9,71,8
25,1,0,9,97,8
25,0,0,12,9,8
25,0,0,14,9,8
25,0,0,17,9,8
25,0,0,17,54,8
25,1,0,18,7,8
25,0,0,18,9,8
25,1,0,18,19,8
25,1,0,18,20,8
25,1,0,18,22,8
25,1,0,18,24,8
25,1,0,18,25,8
25,1,0,18,26,8
25,1,0,18,30,8
25,1,0,18,31,8
25,1,0,18,32,8
25,1,0,18,33,8
25,1,0,18,39,8
25,1,0,18,42,8
25,1,0,18,46,8
25,1,0,18,50,8
25,1,0,18,53,8
25,1,0,18,60,8
25,1,0,18,74,8
25,1,0,18,76,8
25,1,0,18,98,8
25,0,0,19,18,8
25,0,0,20,18,8
25,0,0,22,18,8
25,0,0,22,32,8
25,0,0,22,33,8
25,0,0,23,9,8
25,0,0,24,18,8
25,0,0,24,25,8
25,0,0,24,26,8
25,0,0,24,30,8
25,0,0,24,31,8
25,0,0,24,32,8
25,0,0,24,33,8
25,0,0,24,74,8
25,0,0,24,98,8
25,0,0,25,18,8
25,0,0,25,24,8
25,0,0,25,26,8
25,0,0,25,32,8
25,0,0,25,42,8
25,0,0,25,60,8
25,0,0,26,18,8
25,0,0,26,24,8
25,0,0,26,25,8
25,0,0,26,31,8
25,0,0,26,32,8
25,0,0,26,33,8
25,0,0,26,39,8
25,0,0,26,42,8
25,0,0,26,74,8
25,0,0,26,76,8
25,0,0,26,98,8
25,0,0,30,18,8
25,0,0,30,24,8
25,0,0,30,33,8
25,0,0,31,18,8
25,0,0,31,24,8
25,0,0,31,26,8
25,0,0,31,32,8
25,0,0,31,33,8
25,0,0,31,42,8
25,0,0,31,50,8
25,0,0,31,74,8
25,0,0,31,98,8
25,0,0,32,9,8
25,0,0,32,18,8
25,0,0,32,22,8
25,0,0,32,24,8
25,0,0,32,25,8
25,0,0,32,26,8
25,0,0,32,31,8
25,0,0,32,33,8
25,0,0,32,46,8
25,0,0,32,98,8
25,0,0,33,18,8
25,0,0,33,22,8
25,0,0,33,24,8
25,0,0,33,26,8
25,0,0,33,30,8
25,0,0,33,31,8
25,0,0,33,32,8
25,0,0,33,42,8
25,0,0,33,74,8
25,0,0,33,98,8
25,0,0,39,18,8
25,0,0,39,26,8
25,0,0,39,42,8
25,0,0,40,9,8
